"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097060","GO:0097060","synaptic membrane","90/570","433/16019",0.207852193995381,5.84137595721405,19.6171903988,5.34324077605434e-44,1.29306426780515e-41,1.06302369123607e-41,"KCNA2/LRRTM2/DGKI/GABBR1/CSPG5/CACNA2D2/ATP2B2/DLG2/FXYD6/KCTD8/GRM3/CACNG7/STX1B/LRRTM3/KCTD16/KCNJ9/UNC13A/RIMS4/GABRD/CHRNA2/CHRNB2/GABBR2/KCNK2/LRRC7/ADAM11/GRIN2C/SYP/CACNG2/IL1RAPL1/PDE2A/SNAP25/RGS7BP/GABRQ/CRHR1/KCNA1/RIMS1/NRXN1/CDH8/GABRB2/LRRTM1/KCNB1/SHISA7/LRRTM4/SHANK2/IQSEC3/SLC6A7/SYT1/GRM7/GLRA2/KCND2/CNTNAP2/PNOC/GRIA2/GABRA3/GAD2/CNTN1/CDH9/GABRA2/ELFN2/OPRD1/GABRB3/HTR5A/DCC/ABCC8/LRFN2/PRKCG/KCNJ3/DGKB/CHRNA4/HTR2A/LRFN5/CACNG3/UNC13C/RIMS2/SLITRK1/CHRM2/CBLN1/GRIA4/CHRM1/GRIN1/RPH3A/NETO1/HCN1/KCNC2/GLRA3/GRID2/GABRG2/GABRA1/SNAP91/SLC1A6",90
"GO:0034702","GO:0034702","monoatomic ion channel complex","62/570","324/16019",0.191358024691358,5.37783192549274,15.2912262792801,3.37833012977463e-28,2.72518630468487e-26,2.24036629658739e-26,"KCNA2/KCNN1/TRPC5/CACNA2D2/DLG2/NALCN/SCN3A/KCNG4/CACNG7/KCNJ9/SCN5A/KCNK4/KCNH4/GABRD/KCNH8/CHRNA2/CHRNB2/KCNA4/CACNA1I/KCNJ12/KCNK2/GRIN2C/CACNG2/KCNH5/KCNQ5/SNAP25/GABRQ/KCNA1/KCNQ2/GABRB2/SLC17A8/KCNS2/KCNB1/OLFM3/KCNB2/SLC17A6/GLRA2/KCND2/CNTNAP2/GRIA2/GABRA3/KCNMB2/GABRA2/KCNIP2/GABRB3/ABCC8/KCNJ3/CHRNA4/KCNIP4/CACNG3/RYR2/GRIA4/GRIN1/SLC17A7/CACNA1B/HCN1/KCNC2/GLRA3/GRID2/GABRG2/GABRA1/DPP10",62
"GO:1990351","GO:1990351","transporter complex","68/570","468/16019",0.145299145299145,4.08341580446844,13.003709110279,1.45304091221624e-23,8.05272740780172e-22,6.6201195305547e-22,"KCNA2/KCNN1/TRPC5/CACNA2D2/DLG2/NALCN/SCN3A/KCNG4/CACNG7/ATP1A2/KCNJ9/SCN5A/KCNK4/ATP8A1/KCNH4/GABRD/KCNH8/CHRNA2/CHRNB2/ATP6V1G2/KCNA4/CACNA1I/KCNJ12/KCNK2/GRIN2C/CACNG2/KCNH5/KCNQ5/SNAP25/GABRQ/KCNA1/KCNQ2/GABRB2/SLC17A8/KCNS2/KCNB1/OLFM3/KCNB2/SLC17A6/GLRA2/KCND2/CNTNAP2/GRIA2/GABRA3/KCNMB2/GABRA2/KCNIP2/GABRB3/ABCC8/KCNJ3/CHRNA4/KCNIP4/ATP1A3/ATP8A2/CACNG3/ATP6V0A4/RYR2/GRIA4/GRIN1/SLC17A7/CACNA1B/HCN1/KCNC2/GLRA3/GRID2/GABRG2/GABRA1/DPP10",68
"GO:0043025","GO:0043025","neuronal cell body","66/570","474/16019",0.139240506329114,3.9131467910282,12.3665216592692,7.53832605003012e-22,3.04045817351215e-20,2.49955021658894e-20,"ATOH7/KCNA2/KCNN1/TRPC5/SPTBN2/GABBR1/CDK5R1/ATP2B2/DLG2/KIF5A/SERPINI1/SLC1A1/RTN4R/CACNG7/ATP1A2/MAST1/FLRT1/MAP2/GABRD/ELAVL4/PDE1A/MYOT/RTN1/GFRA1/KCNK2/SNCG/ADAM11/SEZ6L/NRSN1/SNAP25/RGS7BP/CPNE5/KCNA1/NRXN1/PRKCZ/RTN4RL2/SLC17A8/KCNB1/SLC8A2/SHANK2/KCNB2/KCND2/ZNF804A/CNTNAP2/PNOC/GRIA2/GAD2/CADM2/GABRA2/CPLX2/HTR5A/CPLX1/CHRNA4/KCNIP4/ATP1A3/NPPA/KLHL1/HTR2A/PCSK2/CHRM2/GRIA4/CACNA1B/PDYN/TAC1/KCNC2/GLRA3",66
"GO:0099572","GO:0099572","postsynaptic specialization","56/570","368/16019",0.152173913043478,4.27662090007628,12.2143524230581,1.68468313199789e-20,5.82419025633557e-19,4.78804679620454e-19,"ANKS1B/LRRTM2/DGKI/CDK5R1/ATP2B2/DLG2/GRM3/PSD/CACNG7/LRRTM3/SYN1/BSN/CHRNB2/GNG3/RTN1/KCNK2/LRRC7/GRIN2C/CACNG2/SH3GL3/CABP1/RGS7BP/CRHR1/SYN3/PRKCZ/GABRB2/LRRTM1/KCNB1/SHISA7/SLC8A2/SHANK2/IQSEC3/SYT1/DLGAP1/GLRA2/KCND2/GRIA2/GABRA2/ELFN2/OPRD1/GABRB3/HTR5A/DCC/LRFN2/PRKCG/LRFN5/CACNG3/SYN2/SLITRK1/GRIA4/CHRM1/GRIN1/NETO1/GRID2/GABRG2/GABRA1",56
"GO:0098984","GO:0098984","neuron to neuron synapse","56/570","384/16019",0.145833333333333,4.0984283625731,11.8045521401207,1.31438144405585e-19,3.5342256606835e-18,2.90547477107082e-18,"ANKS1B/LRRTM2/DGKI/CDK5R1/ATP2B2/DLG2/LNX1/GRM3/SLC1A1/PSD/CACNG7/LRRTM3/SYN1/BSN/GNG3/RTN1/RAPGEF4/KCNK2/LRRC7/GRIN2C/CACNG2/SH3GL3/C1QL2/CABP1/RGS7BP/CRHR1/SYN3/PRKCZ/C1QL3/SHISA7/SLC8A2/SHANK2/IQSEC3/SYT1/GRM7/DLGAP1/GRIA2/ELFN2/OPRD1/DCC/LRFN2/PRKCG/SLC30A3/ATP1A3/MAL2/LRFN5/CACNG3/SYN2/SLITRK1/CHRM2/GRIA4/CHRM1/GRIN1/NETO1/PDYN/GRID2",56
"GO:0150034","GO:0150034","distal axon","46/570","268/16019",0.171641791044776,4.82373658025661,12.1253053159679,3.84595732228914e-19,9.30721671993972e-18,7.65143088329102e-18,"KCNA2/TRPC5/CLASP2/CDK5R1/SLC2A13/CRHR2/SLC1A1/RTN4R/MAP2/UNC13A/CDK5R2/ELAVL4/KIF21B/KCNK2/SNCG/RAB3A/SYP/NRSN1/BRSK2/SNAP25/KCNA1/NRXN1/STMN4/FGF13/CDH8/SLC17A8/LRRTM1/SLC8A2/SHANK2/PACSIN1/GAD1/ZNF804A/PNOC/CPLX2/OPRD1/DCC/CPLX1/PRKCG/ATCAY/UNC13C/CHRM2/CHRM1/GRIN1/PDYN/KCNC2/NEFL",46
"GO:0030672","GO:0030672","synaptic vesicle membrane","31/570","132/16019",0.234848484848485,6.60006645401382,12.409394305958,2.7612597945947e-17,5.14019130993782e-16,4.22573361278055e-16,"DGKI/SYT2/SYNGR3/RAB26/AMPH/SYN1/ATP8A1/UNC13A/BSN/ATP6V1G2/RAB3A/SYP/SYN3/SLC17A8/SLC6A17/SYT1/SLC17A6/SYNPR/GAD2/GABRA2/OPRD1/ABCC8/SVOP/RAB3C/SLC30A3/MAL2/ATP6V0A4/UNC13C/SYN2/RPH3A/SLC17A7",31
"GO:0008076","GO:0008076","voltage-gated potassium channel complex","24/570","88/16019",0.272727272727273,7.6645933014354,12.0416182666988,2.95116101511231e-15,4.20106450386576e-14,3.45368069260822e-14,"KCNA2/KCNN1/DLG2/KCNG4/KCNH4/KCNA4/KCNK2/KCNH5/KCNQ5/SNAP25/KCNA1/KCNQ2/KCNS2/KCNB1/KCNB2/KCND2/CNTNAP2/KCNMB2/KCNIP2/KCNJ3/KCNIP4/HCN1/KCNC2/DPP10",24
"GO:0044306","GO:0044306","neuron projection terminus","28/570","128/16019",0.21875,6.14764254385965,11.2312769988595,6.88619964447306e-15,8.86806739225397e-14,7.29040773003915e-14,"KCNA2/CRHR2/SLC1A1/FLRT1/UNC13A/BSN/KCNK2/SNCG/RAB3A/SYP/KCNA1/CDH8/SLC17A8/SLC8A2/PACSIN1/GAD1/SYT1/PNOC/CPLX2/OPRD1/CPLX1/PRKCG/UNC13C/CHRM2/CHRM1/GRIN1/PDYN/KCNC2",28
