"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","69/684","414/16019",0.166666666666667,3.90326510721248,12.6399479043809,7.79090632796733e-23,1.908772050352e-20,1.52537744947571e-20,"MARCO/F13A1/LOX/LRRC15/SERPINE1/COL8A1/RARRES2/SLPI/ANXA1/COL1A1/S100A10/TIMP1/COL13A1/TNC/COL22A1/SERPINA3/ICAM1/LGALS3/S100A8/ANGPTL4/SERPINA1/ORM1/THBS1/ANXA2P2/COL6A3/SERPINA5/ITGB4/LOXL4/ANXA2/COL3A1/S100A9/AEBP1/SRPX2/MXRA5/EFEMP1/COL6A2/SERPING1/GDF15/TGFBI/COL5A1/ADAMTSL4/COL1A2/ANG/LOXL1/COL14A1/S100A4/CTSZ/LAMA3/LTBP2/EFEMP2/FBLN5/C1QA/FBLN1/F3/ADAMTS2/LTBP1/C1QB/COL6A1/FCN3/LOXL2/COLEC12/COL8A2/C1QC/IL7/ECM2/COL4A1/CTSC/LAMB1/GPC4",69
"GO:0009897","GO:0009897","external side of plasma membrane","61/684","378/16019",0.161375661375661,3.77935192920573,11.5490826432533,1.47480701241213e-19,1.80663859020485e-17,1.44375844372976e-17,"IL2RA/SCNN1B/FCGR2B/CD163/SCNN1G/PLAU/FCGR2C/ICAM1/IL21R/THBS1/OSMR/SERPINA5/TRPM8/FOLR1/ITGA3/SLAMF6/PLAUR/CCR2/PDCD1LG2/CLEC2B/CD14/ANPEP/IL1RL1/ST14/CD3D/FCGR3A/SCNN1A/CTLA4/FCGR2A/CCR5/CD274/CLEC4D/IL7R/ASGR2/SELL/SDC1/F3/CXCR4/IL2RB/IL1R1/CSF2RB/CXCR3/CD2/ITGA2/FCN3/ITGAM/VCAM1/ITGB2/FCER1G/ITGB3/B4GALT1/TLR8/CD74/CD3E/TNFRSF9/LILRB1/THBD/SLAMF1/IL13RA1/HFE/GPC4",61
"GO:0030667","GO:0030667","secretory granule membrane","47/684","298/16019",0.157718120805369,3.69369382628832,9.91303374279461,6.35081178675704e-15,5.18649629251825e-13,4.1447403239888e-13,"ABCA13/FPR2/CD44/PLAU/CLEC5A/LGALS3/C5AR1/ADAM8/CAV1/SERPINA5/SLC11A1/CR1/LILRB3/LILRB2/CD109/GPR84/FCAR/MME/PLAUR/SIGLEC14/CD14/ALDH3B1/SIGLEC9/ANPEP/ITPR3/LAIR1/FCGR2A/DOK3/CLEC4D/SELL/MGST1/SLC2A5/CEACAM1/ITGAM/TNFRSF1B/ITGB2/TCIRG1/TLR2/VNN1/FPR1/FCER1G/ITGB3/B4GALT1/CD68/LILRA3/NFAM1/LAMP3",47
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","46/684","311/16019",0.147909967845659,3.46399089900528,9.26721316841664,1.40046138471739e-13,7.73117651267873e-12,6.1782978790902e-12,"CHI3L1/LTF/F13A1/HP/PTX3/SERPINE1/RARRES2/SLPI/HK3/CXCL1/TIMP1/RNASE2/CAMP/SERPINA3/S100A8/SERPINA1/PPBP/ORM1/THBS1/ANXA2/RETN/S100A9/RNASE3/SERPING1/S100A12/LCN2/HSPA6/S100A11/EGF/PROS1/C3/PYGL/CTSZ/ALOX5/VEGFA/RAB27A/CTSW/OSCAR/LYZ/PRF1/MVP/PCSK1/CTSC/ARHGAP9/LRG1/CFD",46
"GO:0031983","GO:0031983","vesicle lumen","46/684","312/16019",0.147435897435897,3.45288836407257,9.2405700478852,1.57779112503647e-13,7.73117651267873e-12,6.1782978790902e-12,"CHI3L1/LTF/F13A1/HP/PTX3/SERPINE1/RARRES2/SLPI/HK3/CXCL1/TIMP1/RNASE2/CAMP/SERPINA3/S100A8/SERPINA1/PPBP/ORM1/THBS1/ANXA2/RETN/S100A9/RNASE3/SERPING1/S100A12/LCN2/HSPA6/S100A11/EGF/PROS1/C3/PYGL/CTSZ/ALOX5/VEGFA/RAB27A/CTSW/OSCAR/LYZ/PRF1/MVP/PCSK1/CTSC/ARHGAP9/LRG1/CFD",46
"GO:0042581","GO:0042581","specific granule","31/684","152/16019",0.203947368421053,4.77636388119421,9.87958094134841,2.67248012876766e-13,1.0912627192468e-11,8.72072463071554e-12,"CHI3L1/LTF/HP/PTX3/SLPI/FPR2/PLAU/CLEC5A/CXCL1/CAMP/ORM1/ADAM8/RETN/GPR84/FCAR/PLAUR/LCN2/ALDH3B1/LAIR1/CTSZ/CLEC4D/RAB27A/SLC2A5/OSCAR/CEACAM1/ITGAM/LYZ/TNFRSF1B/ITGB2/LILRA3/LRG1",31
"GO:0034774","GO:0034774","secretory granule lumen","45/684","306/16019",0.147058823529412,3.44405744754042,9.11659943362688,3.20731397731736e-13,1.12255989206108e-11,8.97083307941397e-12,"CHI3L1/LTF/F13A1/HP/PTX3/SERPINE1/RARRES2/SLPI/HK3/CXCL1/TIMP1/RNASE2/CAMP/SERPINA3/S100A8/SERPINA1/PPBP/ORM1/THBS1/ANXA2/RETN/S100A9/RNASE3/SERPING1/S100A12/LCN2/HSPA6/S100A11/EGF/PROS1/C3/PYGL/CTSZ/ALOX5/VEGFA/RAB27A/CTSW/OSCAR/LYZ/MVP/PCSK1/CTSC/ARHGAP9/LRG1/CFD",45
"GO:0070820","GO:0070820","tertiary granule","31/684","155/16019",0.2,4.68391812865497,9.73329247664839,4.6460878675982e-13,1.42286440945195e-11,1.13706887285956e-11,"LTF/HP/PTX3/FPR2/PLAU/CLEC5A/CXCL1/CAMP/LGALS3/PPBP/ORM1/ADAM8/SLC11A1/CR1/LILRB2/GPR84/FCAR/SIGLEC14/LAIR1/DOK3/CLEC4D/OSCAR/CEACAM1/ITGAM/LYZ/ITGB2/TCIRG1/FPR1/FCER1G/LILRA3/LRG1",31
"GO:0005581","GO:0005581","collagen trimer","22/684","83/16019",0.265060240963855,6.20760233918129,10.0456375454948,3.14732010301388e-12,8.56770472487111e-11,6.84680162760914e-11,"MARCO/LOX/COL8A1/COL1A1/COL13A1/COL22A1/COL6A3/COL3A1/COL6A2/COL5A1/COL1A2/COL14A1/C1QA/C1QB/COL6A1/FCN3/COLEC12/COL8A2/C1QTNF1/C1QC/COL4A1/MSR1",22
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","42/684","292/16019",0.143835616438356,3.3685712569094,8.62671086619679,4.25502735715904e-12,1.04248170250397e-10,8.33089566770086e-11,"COL8A1/CP/COL1A1/TIMP1/COL13A1/TNC/COL22A1/FAM20C/SERPINA1/THBS1/COL6A3/COL3A1/IL6/MTTP/ERAP2/COL6A2/SERPING1/PLAUR/ARSJ/COL5A1/ADAMTSL4/COL1A2/GPX8/SPP1/COL14A1/PTGS2/C3/CTSZ/ARSI/IGFBP3/CSF1/PRSS23/DMP1/LTBP1/COL6A1/COL8A2/APOL1/ARSD/COL4A1/CTSC/LAMB1/P4HA3",42
"GO:0101003","GO:0101003","ficolin-1-rich granule membrane","15/684","58/16019",0.258620689655172,6.05679068360557,8.14796642110803,1.32053903641498e-08,2.94120058110609e-07,2.35043311744676e-07,"FPR2/LGALS3/ADAM8/SLC11A1/CR1/LILRB2/FCAR/SIGLEC14/DOK3/CLEC4D/ITGB2/TCIRG1/FPR1/FCER1G/LILRA3",15
"GO:0070821","GO:0070821","tertiary granule membrane","16/684","68/16019",0.235294117647059,5.51049191606467,7.87181199208555,1.8944945346899e-08,3.86792634165854e-07,3.09101739870457e-07,"FPR2/PLAU/CLEC5A/ADAM8/SLC11A1/LILRB2/GPR84/FCAR/SIGLEC14/LAIR1/CLEC4D/CEACAM1/ITGAM/ITGB2/FCER1G/LILRA3",16
"GO:0035580","GO:0035580","specific granule lumen","15/684","60/16019",0.25,5.85489766081871,7.95688667629821,2.18045249635439e-08,4.1093143200525e-07,3.28392035888191e-07,"CHI3L1/LTF/HP/PTX3/SLPI/CXCL1/CAMP/ORM1/RETN/LCN2/CTSZ/RAB27A/OSCAR/LYZ/LRG1",15
"GO:0005604","GO:0005604","basement membrane","18/684","89/16019",0.202247191011236,4.73654642223536,7.46530924927035,3.14676182717237e-08,5.50683319755165e-07,4.40073458536888e-07,"COL8A1/TIMP1/TNC/ANXA2P2/ITGB4/ANXA2/TGFBI/COL5A1/ANG/LOXL1/LAMA3/EFEMP2/FBLN1/COL6A1/LOXL2/COL8A2/COL4A1/LAMB1",18
"GO:0005930","GO:0005930","axoneme","20/684","111/16019",0.18018018018018,4.21974606185132,7.18895266876433,4.2697810989465e-08,6.97397579494595e-07,5.57318796073017e-07,"TEKT1/MAK/DNAH5/EFHC2/DNAH11/SPAG17/ROPN1L/DNAI1/CCDC65/RSPH1/RIBC1/DNAH9/DNAJB13/IQUB/CCDC40/DNALI1/SPEF1/DCDC2/RSPH4A/CCDC103",20
"GO:0097014","GO:0097014","ciliary plasm","20/684","112/16019",0.178571428571429,4.18206975772765,7.13698645019133,4.99350870152637e-08,7.64631019921225e-07,6.11047775318358e-07,"TEKT1/MAK/DNAH5/EFHC2/DNAH11/SPAG17/ROPN1L/DNAI1/CCDC65/RSPH1/RIBC1/DNAH9/DNAJB13/IQUB/CCDC40/DNALI1/SPEF1/DCDC2/RSPH4A/CCDC103",20
"GO:0072562","GO:0072562","blood microparticle","19/684","110/16019",0.172727272727273,4.04520202020202,6.76832674339899,1.861918705396e-07,2.68335342836482e-06,2.14437696101335e-06,"F13A1/HP/CFB/CP/SERPINA3/ANGPTL4/HSPA7/C1R/ORM1/C1S/SERPING1/HSPA6/PROS1/C3/MSN/C1QB/FCN3/APOL1/C1QC",19
"GO:0035579","GO:0035579","specific granule membrane","16/684","85/16019",0.188235294117647,4.40839353285174,6.65406584972577,5.15405316020105e-07,7.01523902360699e-06,5.60616308653448e-06,"FPR2/PLAU/CLEC5A/ADAM8/GPR84/FCAR/PLAUR/ALDH3B1/LAIR1/CLEC4D/SLC2A5/CEACAM1/ITGAM/TNFRSF1B/ITGB2/LILRA3",16
