"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04064","NF-kappa B signaling pathway",99,0.669268217154206,2.70470663658231,1e-10,1.49e-09,8.47368421052632e-10,2792,"tags=58%, list=16%, signal=48%","NFKB1/TNFSF14/RELB/ICAM1/TNFRSF1A/NFKB2/BIRC3/PLAU/CXCL3/BCL10/TNFAIP3/TRADD/IRAK1/NFKBIA/CD14/PPP1R13L/GADD45A/CXCL1/GADD45B/MALT1/MYD88/BCL2A1/IKBKB/BCL2L1/CXCL2/TICAM1/MAP3K14/CFLAR/TRAF1/TICAM2/RIPK1/TRAF5/IL1B/VCAM1/IL1R1/SYK/CARD11/LY96/PLCG2/PTGS2/CCL13/TRIM25/LYN/LCK/TRAF2/LTB/LBP/TNFRSF11A/LTBR/BTK/TNFSF11/CD40/EDA2R/RELA/TNFSF13B/TIRAP/LAT"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",95,0.671433261401221,2.68884154940489,1e-10,1.49e-09,8.47368421052632e-10,4098,"tags=68%, list=24%, signal=52%","TNFSF14/TNFRSF1A/CSF1/CXCL3/IL2RA/TNFRSF1B/IL18R1/CXCR4/CCL20/CXCL5/IL10RA/CCL2/CXCL1/CCR5/CXCL6/PPBP/CXCL2/CCR1/IL10/IL10RB/CCL7/IL2RB/CSF1R/CCL5/TNFRSF14/IL6R/CCR10/CCR2/IL6/CXCR3/TNFRSF10C/CCL13/IL2RG/IL20/CCR3/IL18RAP/CCL18/IL22RA1/CCR8/IL18/TNFRSF10B/IL24/CXCL14/CCR4/LTBR/PF4/CCR7/CXCR2/CXCR1/TNFRSF10D/PF4V1/CCL27/TNFRSF10A/CXCR5/CCL8/IL19/CCL17/CXCL10/CCL4L2/CXCL13/IL20RB/CCL4/CCL22/XCR1/CCL26"
"hsa04668","TNF signaling pathway",117,0.633250171063307,2.62113870627973,1e-10,1.49e-09,8.47368421052632e-10,2071,"tags=47%, list=12%, signal=42%","BCL3/NFKB1/SOCS3/CEBPB/LIF/ICAM1/TNFRSF1A/MAP2K3/CSF1/BIRC3/CXCL3/TNFAIP3/NOD2/TRADD/TNFRSF1B/IRF1/MMP14/NFKBIA/IL18R1/RHBDF2/JUNB/IL15/MAP3K8/FRMD8/CCL20/CXCL5/CCL2/CXCL1/CASP7/FOS/CXCL6/IKBKB/JUN/CXCL2/MAP3K14/CFLAR/TRAF1/RIPK3/CASP8/RIPK1/TRAF5/FAS/CCL5/IL1B/MLKL/VCAM1/PTGS2/IL6/PIK3CD/CSF2/MAPK13/TRAF2/VEGFC/FADD/CREB3L2"
"hsa04380","Osteoclast differentiation",134,0.607761389194553,2.57246422694632,1e-10,1.49e-09,8.47368421052632e-10,2750,"tags=52%, list=16%, signal=44%","NFKB1/SOCS3/RELB/FOSL1/TNFRSF1A/CSF1/NFKB2/FCGR2C/FCGR2B/LILRB2/LILRB3/FOSL2/NFKBIA/JUNB/FCGR2A/SQSTM1/IFNAR1/OSCAR/FCGR3A/LILRA6/NCF1/TEC/SPI1/FOS/NCF2/LCP2/TNFRSF11B/IKBKB/JUN/SOCS1/LILRB1/MAP3K14/NCF4/TGFB2/CSF1R/TGFB1/IL1B/IFNGR2/IL1R1/ITPR3/TGFBR2/SYK/ITGB3/PLCG2/FCGR1A/LILRA5/PIK3CD/ITPR2/NFATC1/CYBA/SIRPG/TYROBP/MAPK13/LCK/TRAF2/NFATC2/ATP2A3/LILRA3/TNFRSF11A/LILRB4/IL1A/BTK/TNFSF11/FCGR3B/LILRA1/RELA/TMEM64/RAC1/LILRA2/FHL2"
"hsa03010","Ribosome",131,-0.527646320287885,-2.56005875815095,1e-10,1.49e-09,8.47368421052632e-10,6185,"tags=70%, list=36%, signal=45%","MRPL20/RPL10L/RPS14/RPS17/RPS15A/MRPL13/RPL10/MRPS15/RPL8/RPS8/RPL35A/MRPL34/RPL38/RPL27A/MRPL3/MRPL11/MRPS21/MRPS18C/RPL13/RPL5/RPL23A/RPL36/RPS24/MRPS2/RPS23/RPL29/MRPS16/MRPS12/RPL22/RPL12/RPL31/RPS9/MRPL10/RPS21/FAU/RPL37A/RPS26/RPL35/RPS25/RPL34/RPL21/RPS29/RPS4Y2/RPL19/MRPL15/RPS15/RPS16/RPS11/RPS3/RPL18/RPL26/RPS27A/MRPL33/RPS5/RPL14/MRPL27/RPL7/RPL6/RPL27/RPS12/RPL10A/MRPL18/RPL4/RPS3A/RPL7A/MRPL4/MRPL1/RPS10/RPL13A/MRPS11/MRPL12/RPL17/RPL3/RPL32/MRPL14/RPS7/MRPL2/MRPS7/MRPS18A/MRPS10/RSL24D1/RPS18/RPL24/MRPL21/MRPL35/RPL18A/MRPS9/RPSA/RPL9/MRPL28/MRPL30/RPL15"
"hsa04640","Hematopoietic cell lineage",82,0.642981634495402,2.53189058672406,1e-10,1.49e-09,8.47368421052632e-10,3472,"tags=60%, list=20%, signal=48%","CD44/CSF1/IL2RA/ITGA3/CD14/CD7/IL4R/ITGA2/ANPEP/IL1R2/ITGAM/FLT3LG/CSF3/CSF3R/ITGA5/CD37/IL7/CD4/CSF1R/IL1B/IL1R1/IL6R/ITGB3/CD33/FCGR1A/CR1/IL6/IL11/CD1D/CSF2/MME/IL7R/CD3E/ITGA4/IL1A/CD3D/CD2/GP9/EPOR/CD59/GP1BA/KITLG/CD3G/ITGA1/CR1L/CD1A/TFRC/CD8B/CD5"
"hsa00190","Oxidative phosphorylation",105,-0.540676881478156,-2.52751963098415,1e-10,1.49e-09,8.47368421052632e-10,3821,"tags=57%, list=22%, signal=45%","ATP6V1B2/ATP6V0D1/NDUFS3/COX8A/UQCRB/NDUFV2/COX7B/NDUFA12/NDUFB6/NDUFB4/NDUFB11/NDUFS4/NDUFA9/ATP6V1G3/COX7B2/ATP6V0A1/NDUFA6/NDUFA7/COX6B1/COX7A1/COX6C/NDUFB10/UQCR11/LHPP/ATP6V0E2/UQCRHL/COX4I1/NDUFB5/NDUFA8/COX7A2L/NDUFV1/ATP6V1E1/COX5B/SDHB/NDUFB7/COX5A/UQCRH/ATP6V1H/NDUFA4/PPA1/NDUFA10/COX6A1/COX10/NDUFS1/NDUFA11/NDUFA13/UQCRC1/NDUFS7/ATP4A/NDUFC2/NDUFB9/ATP6V1A/NDUFAB1/UQCRFS1/NDUFB8/CYC1/COX7A2/ATP6V0A4/ATP6V1G2/UQCRC2"
"hsa04723","Retrograde endocannabinoid signaling",140,-0.515031305603213,-2.51013287156493,1e-10,1.49e-09,8.47368421052632e-10,3879,"tags=56%, list=23%, signal=43%","MAPK9/DAGLA/NDUFS3/NDUFV2/NDUFA12/GABRE/NDUFB6/NDUFB4/NDUFB11/NDUFS4/NDUFA9/GNB5/GNG7/GABRB1/NDUFA6/MGLL/NDUFA7/GNB1/GNAO1/PRKCB/NDUFB10/GNAI1/ADCY1/GABRA5/GABRG3/GRM5/NDUFB5/GABRP/NDUFA8/GABRA4/CACNA1S/NDUFV1/GABRG1/FAAH/NDUFB7/ABHD6/SLC32A1/NDUFA4/MAPK12/GRM1/NDUFA10/ADCY5/GABRA6/SLC17A6/GABRD/GABRB2/SLC17A8/NDUFS1/NDUFA11/PRKACB/GNG3/NDUFA13/GABRQ/NDUFS7/KCNJ9/NDUFC2/PRKCG/GRIA3/SLC17A7/NDUFB9/GABRB3/NDUFAB1/RIMS1/GABRA2/NDUFB8/GABRA3/GABRA1/KCNJ3/GABRG2/CACNA1B/PLCB4/GNG4/GNG13/GNG2/MAPK8/GRIA2/PLCB1/GRIA4"
"hsa05150","Staphylococcus aureus infection",75,0.636118901271804,2.45394986429214,1e-10,1.49e-09,8.47368421052632e-10,2467,"tags=45%, list=14%, signal=39%","ICAM1/CFI/C5AR1/C1R/CFB/FCGR2C/FCGR2B/C1S/FPR2/FCGR2A/ITGAM/ITGB2/FCGR3A/C3/C1QA/C1QC/C1QB/FCAR/IL10/FPR3/CAMP/FCGR1A/C2/C3AR1/FPR1/CFD/FGG/KRT16/ITGAL/SELPLG/C5/KRT23/C4A/FCGR3B"
"hsa05133","Pertussis",74,0.636981415589011,2.44452786446046,1e-10,1.49e-09,8.47368421052632e-10,2791,"tags=59%, list=16%, signal=50%","NFKB1/C1R/SERPING1/C1S/NOD1/IRAK1/IRF1/CD14/ITGAM/ITGB2/CXCL5/C3/CASP7/MYD88/C1QA/FOS/CXCL6/ITGA5/CASP1/JUN/C1QC/C1QB/TICAM1/IL10/ITGB1/TICAM2/IL1B/LY96/IL6/C2/IL23A/MAPK13/PYCARD/GNAI2/C5/IL1A/GNAI3/NLRP3/CALML4/C4A/RELA/IRF3/C4BPB/TIRAP"
