"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","GO:0042391","regulation of membrane potential","71/541","436/15424",0.162844036697248,4.64271057674371,14.7107186726849,4.16282519231486e-28,5.38537871758328e-25,4.72038854016885e-25,"KCNA2/TRPC5/GABBR1/BOK/CTNNA3/NALCN/SCN3A/KCNG4/STX1B/ATP1A2/KCTD16/KCNJ9/SCN5A/KCNK4/KCNH4/RIMS4/GABRD/KCNH8/CHRNA2/CHRNB2/KCNA4/CACNA1I/FGF12/KCNK2/GRIN2C/CACNG2/KCNH5/RGS7BP/GABRQ/KCNA1/RIMS1/NRXN1/PRKCZ/KCNQ2/FGF13/GABRB2/KCNS2/KCNB1/SLC8A2/CELF4/GJD2/KCNB2/GLRA2/KCND2/CUX2/GRIA2/GABRA3/KCNMB2/GABRA2/KCNIP2/OPRD1/GABRB3/ABCC8/KCNJ3/CHRNA4/ATP1A3/NPPA/RYR2/RIMS2/CBLN1/GRIA4/CHRM1/GRIN1/NETO1/HCN1/KCNC2/GLRA3/GRID2/GABRG2/GABRA1/SLC1A6",71
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","74/541","478/15424",0.154811715481172,4.41370776262771,14.4549175899987,7.73083307199039e-28,5.38537871758328e-25,4.72038854016885e-25,"PRKCE/LRRTM2/GABBR1/CSPG5/PPFIA3/CACNA2D2/SYT2/CRHR2/NALCN/GRM3/SLC1A1/CACNG7/STX1B/ATP1A2/KIT/SYN1/UNC13A/EPHB1/RIMS4/BSN/CA7/CHRNB2/KCNK2/SNCG/RAB3A/GRIN2C/SYP/CACNG2/SNAP25/PLCB1/SYN3/CNTN4/RIMS1/NRXN1/PRKCZ/NXPH1/NEUROD2/LRRTM1/KCNB1/SHISA7/SLC8A2/SHANK2/CELF4/SYT1/GRM4/GRM7/JPH4/DLGAP1/GLRA2/CUX2/GRIA2/CPLX2/DCC/CPLX1/LRFN2/PRKCG/TNR/HTR2A/CACNG3/UNC13C/RIMS2/CHRM2/CBLN1/JPH3/CAMKV/GRIA4/CHRM1/GRIN1/CACNA1B/NETO1/INA/CBLN2/GRID2/NEFL",74
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","74/541","479/15424",0.154488517745303,4.40449334141137,14.4314545881637,8.86238955170041e-28,5.38537871758328e-25,4.72038854016885e-25,"PRKCE/LRRTM2/GABBR1/CSPG5/PPFIA3/CACNA2D2/SYT2/CRHR2/NALCN/GRM3/SLC1A1/CACNG7/STX1B/ATP1A2/KIT/SYN1/UNC13A/EPHB1/RIMS4/BSN/CA7/CHRNB2/KCNK2/SNCG/RAB3A/GRIN2C/SYP/CACNG2/SNAP25/PLCB1/SYN3/CNTN4/RIMS1/NRXN1/PRKCZ/NXPH1/NEUROD2/LRRTM1/KCNB1/SHISA7/SLC8A2/SHANK2/CELF4/SYT1/GRM4/GRM7/JPH4/DLGAP1/GLRA2/CUX2/GRIA2/CPLX2/DCC/CPLX1/LRFN2/PRKCG/TNR/HTR2A/CACNG3/UNC13C/RIMS2/CHRM2/CBLN1/JPH3/CAMKV/GRIA4/CHRM1/GRIN1/CACNA1B/NETO1/INA/CBLN2/GRID2/NEFL",74
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","34/541","147/15424",0.231292517006803,6.59418813736215,12.993151938593,8.03944483219632e-19,3.66397698227347e-16,3.21154664612474e-16,"KCNA2/GABBR1/STX1B/KCTD16/GABRD/CHRNA2/CHRNB2/GRIN2C/RGS7BP/KCNA1/RIMS1/NRXN1/PRKCZ/GABRB2/SLC8A2/CELF4/GLRA2/KCND2/CUX2/GRIA2/GABRA3/GABRA2/CHRNA4/RIMS2/CBLN1/GRIA4/CHRM1/GRIN1/NETO1/HCN1/GLRA3/GRID2/GABRG2/GABRA1",34
"GO:0099504","GO:0099504","synaptic vesicle cycle","38/541","216/15424",0.175925925925926,5.01567741493804,11.3315015535391,1.34310212638426e-16,4.89695035279702e-14,4.2922716375817e-14,"CSPG5/PPFIA3/CDK5R1/SYT2/SYNGR3/STX1B/AMPH/SYN1/ATP8A1/UNC13A/RIMS4/BSN/ATP6V1G2/RAPGEF4/SNCG/RAB3A/SYP/SH3GL3/BRSK2/SNAP25/SYN3/RIMS1/NRXN1/SLC17A8/DOC2B/PACSIN1/SYT1/SLC17A6/CPLX2/CPLX1/PRKCG/ATP6V0A4/UNC13C/SYN2/RIMS2/RPH3A/SLC17A7/SNAP91",38
"GO:0006813","GO:0006813","potassium ion transport","39/541","232/15424",0.168103448275862,4.79265727579833,11.0973155917034,2.62606832923221e-16,7.97887094031718e-14,6.99363460311314e-14,"KCNA2/KCNN1/FXYD6/NALCN/KCNG4/ATP1A2/KCNJ9/KCNK9/KCNK4/KCNH4/KCNH8/KCNA4/KCNJ12/KCNK2/KCNH5/KCNQ5/SNAP25/KCNA1/KCNQ2/KCNS2/KCNB1/KCNB2/SLC17A6/KCND2/KCNMB2/KCNT1/FXYD7/KCNIP2/ABCC8/EDN3/KCNJ3/KCNIP4/ATP1A3/NPPA/HTR2A/SLC17A7/HCN1/KCNC2/DPP10",39
"GO:0006836","GO:0006836","neurotransmitter transport","36/541","200/15424",0.18,5.13182994454713,11.213233606158,4.09020345776268e-16,1.06520584335734e-13,9.33673511110337e-14,"CSPG5/PPFIA3/SYT2/SYNGR3/SLC1A1/SLC6A13/STX1B/ATP1A2/SYN1/UNC13A/RIMS4/SNCG/RAB3A/SYP/SNAP25/GABRQ/RIMS1/NRXN1/HRH3/SLC17A8/SLC6A17/DOC2B/SLC6A7/SYT1/GRM4/SLC17A6/CPLX2/ABCC8/CPLX1/PRKCG/UNC13C/SYN2/RIMS2/RPH3A/SLC17A7/SLC1A6",36
"GO:0071805","GO:0071805","potassium ion transmembrane transport","36/541","204/15424",0.176470588235294,5.03120582798739,11.0504649568131,7.85404217499184e-16,1.78973986062626e-13,1.56874158179442e-13,"KCNA2/KCNN1/NALCN/KCNG4/ATP1A2/KCNJ9/KCNK9/KCNK4/KCNH4/KCNH8/KCNA4/KCNJ12/KCNK2/KCNH5/KCNQ5/SNAP25/KCNA1/KCNQ2/KCNS2/KCNB1/KCNB2/SLC17A6/KCND2/KCNMB2/KCNT1/KCNIP2/ABCC8/EDN3/KCNJ3/KCNIP4/ATP1A3/NPPA/SLC17A7/HCN1/KCNC2/DPP10",36
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","39/541","250/15424",0.156,4.44758595194085,10.47786715388,3.48475258302593e-15,7.05855995428474e-13,6.18696423512674e-13,"CSPG5/PPFIA3/CDK5R1/SYT2/SYNGR3/STX1B/AMPH/SYN1/ATP8A1/UNC13A/RIMS4/BSN/ATP6V1G2/RAPGEF4/SNCG/RAB3A/SYP/SH3GL3/BRSK2/SNAP25/SYN3/RIMS1/NRXN1/SLC17A8/DOC2B/PACSIN1/SYT1/SLC17A6/CPLX2/CPLX1/PRKCG/ATP6V0A4/CALY/UNC13C/SYN2/RIMS2/RPH3A/SLC17A7/SNAP91",39
"GO:0061564","GO:0061564","axon development","55/541","490/15424",0.112244897959184,3.20012071371987,9.43613829730536,1.74941916303698e-14,3.18919113421641e-12,2.7953876731475e-12,"ATOH7/TRPC5/FGF8/CLASP2/CSPG5/CDK5R1/SLITRK6/KIF5A/NTN4/RTN4R/EPHA10/LHX3/SLIT1/DAB1/MAP2/B4GALT6/EPHB1/CDK5R2/CHRNB2/MYOT/FEZF2/OLIG1/RAB3A/FSTL4/DSCAML1/PLP1/EPHA6/OLIG2/BRSK2/SNAP25/MCF2/CNTN4/KCNA1/UNC5D/NRXN1/VAX1/RTN4RL2/FGF13/NEUROD2/BCL11A/GRM7/NPTX1/CNTN1/POU4F1/DCC/EDN3/TNR/ATP8A2/SEMA3D/SLITRK1/NEUROD1/SLITRK4/CCK/NEFL/LRTM2",55
