"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002250","GO:0002250","adaptive immune response","80/655","440/15424",0.181818181818182,4.28147120055517,14.7065426639794,3.04274117878117e-29,6.29238875771947e-26,4.40396749560433e-26,"FCGR2B/TREM1/SOCS3/CLCF1/ANXA1/FOXJ1/MYO1G/CFI/FCGR2C/ICAM1/IL21R/BCL3/C1R/C1S/SLC11A1/CR1/LILRA6/C1RL/LILRB3/LILRB2/IL6/CD70/IL10/IL18R1/SECTM1/ERAP2/SERPING1/NOD2/SLAMF6/NFKBIZ/CCR2/PDCD1LG2/GATA3/ZC3H12A/IL1RL1/CD3D/FCGR3A/CTLA4/LAIR1/C3/BATF/CD7/FCGR2A/IL1B/CD274/C6/CLEC4D/ITK/IL7R/RAB27A/C1QA/SIGLEC10/IL18RAP/SLA2/IL2RB/TEC/CEACAM1/C1QB/IL1R1/CSF2RB/JUNB/TNFRSF1B/PRF1/TCIRG1/WAS/FCER1G/C1QC/TRAT1/LAX1/TLR8/TNFAIP3/CD74/CD3E/LILRA3/LILRB1/CTSC/SLAMF1/C2/HFE/LAMP3",80
"GO:0050900","GO:0050900","leukocyte migration","71/655","374/15424",0.189839572192513,4.47035963587378,14.3077574276411,3.42371338835425e-27,3.5401196435583e-24,2.47768732051952e-24,"SAA1/CXCL3/TNFSF14/SERPINE1/TREM1/RARRES2/CXCL6/CXCL5/CCL20/ANXA1/FPR2/FOXJ1/CCL18/CXCL1/CCL7/CCL2/MYO1G/ICAM1/EDN2/LGALS3/S100A8/PPBP/C5AR1/THBS1/ADAM8/IL6/CXCL2/S100A9/ITGA3/CCL13/IL10/CHST4/NOD2/SLAMF8/LBP/GDF15/CCR2/S100A12/MMP14/GCNT1/GATA3/NLRP12/IL1B/CCR5/ALOX5/VEGFA/SELL/CSF1/HSD3B7/BDKRB1/MSN/CXCR4/IL1R1/F11R/CXCR3/DUSP1/ITGA2/LCK/VCAM1/ITGB2/FCER1G/ITGB3/B4GALT1/CD99/CD74/CYP19A1/HMOX1/SLAMF1/CCL5/LEP/VAV3",71
"GO:0006959","GO:0006959","humoral immune response","57/655","268/15424",0.212686567164179,5.00836276632107,13.9402849792524,1.46738671252516e-24,7.58638930375508e-22,5.30962297295289e-22,"PI3/LTF/MMP7/CXCL3/FCGR2B/TREM1/RARRES2/SLPI/CXCL6/CXCL5/CFB/CCL20/FOXJ1/HAMP/CCL18/CXCL1/CCL7/CCL2/CAMP/CFI/LGALS3/PPBP/BCL3/ADM/C1R/C1S/SLC11A1/CR1/C1RL/IL6/CXCL2/S100A9/RNASE3/CCL13/SERPING1/NOD2/CXCL14/CCR2/S100A12/GATA3/ANG/C3/IL1B/C6/TSLP/VSIG4/ALOX5/C1QA/C1QB/FCN3/LYZ/C1QC/IL7/C2/CCL5/RNASE4/CFD",57
"GO:0002449","GO:0002449","lymphocyte mediated immunity","58/655","282/15424",0.205673758865248,4.84322451410319,13.7169710853652,3.44698673080451e-24,1.42567371186074e-21,9.97811948390779e-22,"FCGR2B/CLCF1/FOXJ1/MYO1G/CFI/FCGR2C/ICAM1/IL21R/BCL3/C1R/C1S/CR1/C1RL/IL6/CD70/IL10/IL18R1/SECTM1/SERPING1/NOD2/SLAMF6/NFKBIZ/CCR2/GATA3/FCGR3A/C3/BATF/CD7/FCGR2A/IL1B/CD274/C6/IL7R/RAB27A/C1QA/IL18RAP/SLA2/IL2RB/CEACAM1/C1QB/IL1R1/CSF2RB/CD2/TNFRSF1B/PRF1/TCIRG1/WAS/FCER1G/C1QC/CD96/TLR8/CD74/LILRB1/CTSC/SLAMF1/C2/LEP/HFE",58
"GO:0002237","GO:0002237","response to molecule of bacterial origin","60/655","336/15424",0.178571428571429,4.20501635768811,12.5087405715481,1.13864950259055e-21,3.36389595908179e-19,2.35435047528121e-19,"LTF/CXCL3/FCGR2B/CSF3/SERPINE1/SLPI/CXCL6/CXCL5/MAOB/CXCL1/CCL2/CAMP/S100A8/PPBP/C5AR1/ADM/SOD2/GBP5/SLC11A1/LILRB2/PTPN22/IL6/CXCL2/FCAR/IL10/GBP3/NOD2/GBP2/LBP/NFKBIZ/MRC1/GJB2/PDCD1LG2/ZC3H12A/CD14/ZFP36/LOXL1/PTGS2/IL1B/CCR5/CD274/CEBPB/FOS/BDKRB1/CSF2RB/COL6A1/TNFRSF1B/VCAM1/IL10RA/VIM/TLR2/FOSL2/CD96/TNFAIP3/CARD16/PCSK1/CD68/LILRB1/THBD/C2",60
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","73/655","492/15424",0.148373983739837,3.49392416061565,11.8395811176834,3.24314508221339e-21,8.28552900263678e-19,5.79894247105038e-19,"IL2RA/CXCL3/CSF3/CXCL6/IL1R2/CXCL5/SOCS3/CLCF1/CCL20/BIRC3/CD44/CCL18/PLP2/CXCL1/CCL7/CCL2/FOSL1/EDN2/IL21R/PPBP/OSM/CAV1/OSMR/EREG/RBM47/IL1RN/LILRB2/IL6/CXCL2/CD70/CCL13/IL10/IL18R1/NFKBIZ/IL15/CCR2/LILRA5/TNFRSF11B/IL1RL1/IL1B/CCR5/TSLP/IL7R/CISH/CSF1/F3/TRIM56/IL18RAP/CXCR4/NLRP6/IL2RB/CEACAM1/IL1R1/CSF2RB/CXCR3/TNFRSF1B/IL10RA/IL11/FCER1G/IL7/SOCS1/TNFAIP3/CD74/CARD16/HCLS1/IL22RA1/LILRA3/LILRB1/IFITM3/CCL5/IL13RA1/LEP/TNFRSF1A",73
"GO:0006935","GO:0006935","chemotaxis","67/655","431/15424",0.155452436194896,3.66060820743522,11.797903106478,1.19652344599546e-20,2.4744104863186e-18,1.7318102507829e-18,"SAA1/CXCL3/TNFSF14/LOX/SERPINE1/TREM1/RARRES2/CXCL6/CXCL5/CCL20/ANXA1/FPR2/CCL18/PLAU/PLP2/CXCL1/CCL7/RNASE2/CCL2/FOSL1/EDN2/LGALS3/S100A8/PPBP/C5AR1/THBS1/ADAM8/IL6/CXCL2/S100A9/MET/RNASE3/CCL13/IL10/NOD2/SLAMF8/LBP/CXCL14/PLAUR/CCR2/S100A12/S100A4/IL1B/CCR5/FPR3/TYMP/ALOX5/VEGFA/CSF1/HSD3B7/F3/CXCR4/CXCR3/DUSP1/ITGA2/VCAM1/ITGB2/FPR1/FCER1G/ITGB3/CD74/CYP19A1/NRP1/SLAMF1/CCL5/HSPB1/VAV3",67
"GO:0060326","GO:0060326","cell chemotaxis","54/655","294/15424",0.183673469387755,4.32515968219349,12.1226130055208,3.51859648139657e-20,6.06371460294008e-18,4.24392119466691e-18,"SAA1/CXCL3/TNFSF14/LOX/SERPINE1/TREM1/RARRES2/CXCL6/CXCL5/CCL20/ANXA1/FPR2/CCL18/CXCL1/CCL7/CCL2/EDN2/LGALS3/S100A8/PPBP/C5AR1/THBS1/ADAM8/IL6/CXCL2/S100A9/MET/CCL13/IL10/NOD2/SLAMF8/LBP/CXCL14/CCR2/S100A12/IL1B/CCR5/ALOX5/VEGFA/CSF1/HSD3B7/CXCR4/CXCR3/DUSP1/VCAM1/ITGB2/FCER1G/CD74/CYP19A1/NRP1/SLAMF1/CCL5/HSPB1/VAV3",54
"GO:0050727","GO:0050727","regulation of inflammatory response","60/655","370/15424",0.162162162162162,3.8186094491438,11.5568464684598,1.67209638462942e-19,2.46992523100974e-17,1.72867107433492e-17,"SAA1/IL2RA/PLA2G2A/FCGR2B/SERPINE1/SOCS3/ANXA1/FPR2/HAMP/BIRC3/TNC/S100A8/OSM/ADAM8/OSMR/GBP5/IL6/S100A9/IL10/GBP3/NOD2/GBP2/SLAMF8/LBP/NFKBIZ/IL15/CCR2/S100A12/LILRA5/GATA3/NLRP12/GBP1/ZFP36/IL1RL1/PTGS2/C3/IL1B/NEAT1/IER3/CEBPB/TSLP/ALOX5/NCF1/SIGLEC10/ALOX5AP/NLRP6/CASP5/IL1R1/TNFRSF1B/IL10RA/TLR2/MAP3K8/TNFAIP3/CARD16/CYP19A1/IL22RA1/CTSC/ELF4/CCL5/TNFRSF1A",60
"GO:0030198","GO:0030198","extracellular matrix organization","52/655","308/15424",0.168831168831169,3.97565182908694,11.1088362526705,8.24716819032295e-18,1.03684513155493e-15,7.25675484011006e-16,"MMP7/IBSP/LOX/PTX3/COL8A1/COL1A1/COL13A1/COL22A1/HAS3/PDPN/BCL3/ADAM8/CAV1/LOXL4/ANXA2/COL3A1/IL6/MMP1/AEBP1/ELF3/TGFBI/COL5A1/ADAMTSL4/COL1A2/TNFRSF11B/MMP14/LOXL1/COL14A1/ADAMTS14/RUNX1/EFEMP2/FBLN5/FBLN1/DMP1/ADAMTS2/SLC2A10/PAPLN/COL6A1/FAP/ITGA2/LOXL2/TNFRSF1B/COL8A2/ITGB3/ECM2/HAS2/B4GALT1/COL4A1/LAMB1/P4HA3/MMP11/TNFRSF1A",52
