"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","69/684","414/16019",0.166666666666667,3.90326510721248,12.6399479043809,7.79090632796733e-23,1.908772050352e-20,1.52537744947571e-20,"MARCO/F13A1/LOX/LRRC15/SERPINE1/COL8A1/RARRES2/SLPI/ANXA1/COL1A1/S100A10/TIMP1/COL13A1/TNC/COL22A1/SERPINA3/ICAM1/LGALS3/S100A8/ANGPTL4/SERPINA1/ORM1/THBS1/ANXA2P2/COL6A3/SERPINA5/ITGB4/LOXL4/ANXA2/COL3A1/S100A9/AEBP1/SRPX2/MXRA5/EFEMP1/COL6A2/SERPING1/GDF15/TGFBI/COL5A1/ADAMTSL4/COL1A2/ANG/LOXL1/COL14A1/S100A4/CTSZ/LAMA3/LTBP2/EFEMP2/FBLN5/C1QA/FBLN1/F3/ADAMTS2/LTBP1/C1QB/COL6A1/FCN3/LOXL2/COLEC12/COL8A2/C1QC/IL7/ECM2/COL4A1/CTSC/LAMB1/GPC4",69
"GO:0009897","GO:0009897","external side of plasma membrane","61/684","378/16019",0.161375661375661,3.77935192920573,11.5490826432533,1.47480701241213e-19,1.80663859020485e-17,1.44375844372976e-17,"IL2RA/SCNN1B/FCGR2B/CD163/SCNN1G/PLAU/FCGR2C/ICAM1/IL21R/THBS1/OSMR/SERPINA5/TRPM8/FOLR1/ITGA3/SLAMF6/PLAUR/CCR2/PDCD1LG2/CLEC2B/CD14/ANPEP/IL1RL1/ST14/CD3D/FCGR3A/SCNN1A/CTLA4/FCGR2A/CCR5/CD274/CLEC4D/IL7R/ASGR2/SELL/SDC1/F3/CXCR4/IL2RB/IL1R1/CSF2RB/CXCR3/CD2/ITGA2/FCN3/ITGAM/VCAM1/ITGB2/FCER1G/ITGB3/B4GALT1/TLR8/CD74/CD3E/TNFRSF9/LILRB1/THBD/SLAMF1/IL13RA1/HFE/GPC4",61
"GO:0030667","GO:0030667","secretory granule membrane","47/684","298/16019",0.157718120805369,3.69369382628832,9.91303374279461,6.35081178675704e-15,5.18649629251825e-13,4.1447403239888e-13,"ABCA13/FPR2/CD44/PLAU/CLEC5A/LGALS3/C5AR1/ADAM8/CAV1/SERPINA5/SLC11A1/CR1/LILRB3/LILRB2/CD109/GPR84/FCAR/MME/PLAUR/SIGLEC14/CD14/ALDH3B1/SIGLEC9/ANPEP/ITPR3/LAIR1/FCGR2A/DOK3/CLEC4D/SELL/MGST1/SLC2A5/CEACAM1/ITGAM/TNFRSF1B/ITGB2/TCIRG1/TLR2/VNN1/FPR1/FCER1G/ITGB3/B4GALT1/CD68/LILRA3/NFAM1/LAMP3",47
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","46/684","311/16019",0.147909967845659,3.46399089900528,9.26721316841664,1.40046138471739e-13,7.73117651267873e-12,6.1782978790902e-12,"CHI3L1/LTF/F13A1/HP/PTX3/SERPINE1/RARRES2/SLPI/HK3/CXCL1/TIMP1/RNASE2/CAMP/SERPINA3/S100A8/SERPINA1/PPBP/ORM1/THBS1/ANXA2/RETN/S100A9/RNASE3/SERPING1/S100A12/LCN2/HSPA6/S100A11/EGF/PROS1/C3/PYGL/CTSZ/ALOX5/VEGFA/RAB27A/CTSW/OSCAR/LYZ/PRF1/MVP/PCSK1/CTSC/ARHGAP9/LRG1/CFD",46
"GO:0005581","GO:0005581","collagen trimer","22/684","83/16019",0.265060240963855,6.20760233918129,10.0456375454948,3.14732010301388e-12,8.56770472487111e-11,6.84680162760914e-11,"MARCO/LOX/COL8A1/COL1A1/COL13A1/COL22A1/COL6A3/COL3A1/COL6A2/COL5A1/COL1A2/COL14A1/C1QA/C1QB/COL6A1/FCN3/COLEC12/COL8A2/C1QTNF1/C1QC/COL4A1/MSR1",22
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","42/684","292/16019",0.143835616438356,3.3685712569094,8.62671086619679,4.25502735715904e-12,1.04248170250397e-10,8.33089566770086e-11,"COL8A1/CP/COL1A1/TIMP1/COL13A1/TNC/COL22A1/FAM20C/SERPINA1/THBS1/COL6A3/COL3A1/IL6/MTTP/ERAP2/COL6A2/SERPING1/PLAUR/ARSJ/COL5A1/ADAMTSL4/COL1A2/GPX8/SPP1/COL14A1/PTGS2/C3/CTSZ/ARSI/IGFBP3/CSF1/PRSS23/DMP1/LTBP1/COL6A1/COL8A2/APOL1/ARSD/COL4A1/CTSC/LAMB1/P4HA3",42
"GO:0005930","GO:0005930","axoneme","20/684","111/16019",0.18018018018018,4.21974606185132,7.18895266876433,4.2697810989465e-08,6.97397579494595e-07,5.57318796073017e-07,"TEKT1/MAK/DNAH5/EFHC2/DNAH11/SPAG17/ROPN1L/DNAI1/CCDC65/RSPH1/RIBC1/DNAH9/DNAJB13/IQUB/CCDC40/DNALI1/SPEF1/DCDC2/RSPH4A/CCDC103",20
"GO:0072562","GO:0072562","blood microparticle","19/684","110/16019",0.172727272727273,4.04520202020202,6.76832674339899,1.861918705396e-07,2.68335342836482e-06,2.14437696101335e-06,"F13A1/HP/CFB/CP/SERPINA3/ANGPTL4/HSPA7/C1R/ORM1/C1S/SERPING1/HSPA6/PROS1/C3/MSN/C1QB/FCN3/APOL1/C1QC",19
"GO:0043235","GO:0043235","receptor complex","39/684","400/16019",0.0975,2.2834100877193,5.48983304635814,1.38154270803029e-06,1.61179982603534e-05,1.28805485560719e-05,"IL2RA/CD44/VDR/GPRC5A/OSMR/ITGB4/LOXL4/IL6/CHRNA9/GPR84/MET/ITGA3/MTTP/IL18R1/TNFRSF11B/CD14/CD3D/ITPR3/EPHA1/IL18RAP/FLNA/IL2RB/CEACAM1/CSF2RB/ITGA2/ITGAM/TNFRSF1B/ITGB2/TLR2/EPHB4/TRAT1/ITGB5/ITGB3/CD74/CD3E/NRP1/IL13RA1/HFE/TNFRSF1A",39
"GO:0031514","GO:0031514","motile cilium","25/684","206/16019",0.121359223300971,2.84218333049452,5.62017227555066,2.50839758654887e-06,2.67198873349771e-05,2.13529497070064e-05,"TEKT1/ANXA1/MAK/DNAH5/EFHC2/SPAG4/CATSPER1/AK7/DNAH11/RSPH10B2/SPAG17/ROPN1L/DNAI1/SCNN1A/CCDC65/RSPH1/RIBC1/CATSPERB/DNAH9/DNAJB13/IQUB/DNALI1/SPEF1/RSPH4A/CCDC103",25
"GO:0030139","GO:0030139","endocytic vesicle","33/684","326/16019",0.101226993865031,2.37069475836831,5.28064375634432,4.02371743056003e-06,4.08969844814352e-05,3.26824451709858e-05,"LTF/SAA1/MARCO/CSF3/HP/CD163/AREG/ADAM8/CAV1/PLA2G5/EREG/SLC11A1/NOD2/EGF/ANG/CD3D/ATP6V0D2/CTLA4/IL7R/RIN1/STAB1/NCF1/COLEC12/RAB38/TCIRG1/VIM/TLR2/WAS/ITGB5/CD74/HCLS1/MSR1/SLAMF1",33
"GO:0098802","GO:0098802","plasma membrane signaling receptor complex","23/684","185/16019",0.124324324324324,2.91162478267741,5.52310756553044,4.1731616817791e-06,4.08969844814352e-05,3.26824451709858e-05,"IL2RA/OSMR/ITGB4/IL6/CHRNA9/ITGA3/IL18R1/CD3D/IL18RAP/FLNA/IL2RB/CEACAM1/CSF2RB/ITGA2/ITGAM/ITGB2/TLR2/TRAT1/ITGB5/ITGB3/CD3E/IL13RA1/HFE",23
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","12/684","58/16019",0.206896551724138,4.84543254688445,6.19611473502991,4.8870010975707e-06,4.60505872655701e-05,3.68008989533664e-05,"PLAU/TNC/ITGB4/ITGA3/PLAUR/CTLA4/ITGA2/ITGAM/ITGB2/ITGB5/ITGB3/LAMB1",12
"GO:0045178","GO:0045178","basal part of cell","31/684","308/16019",0.100649350649351,2.35716659071922,5.07921865804091,8.8214693339789e-06,8.00466661786974e-05,6.39685495563382e-05,"ABCC3/CA9/ANXA1/AQP9/CD44/CA12/PDPN/C5AR1/CAV1/ITGB4/ANXA2/TACSTD2/FOLR1/MET/ITGA3/MTTP/NOD2/SLC16A3/ST14/CLDN4/SLC39A14/MSN/CEACAM1/FAP/ITGA2/SPEF1/B4GALT1/SLC43A3/SLC16A10/P2RY6/HFE",31
"GO:0045177","GO:0045177","apical part of cell","39/684","440/16019",0.0886363636363636,2.07582735247209,4.83269555518288,1.34849381404743e-05,0.00011799320872915,9.42931764709857e-05,"SCNN1B/LRRC15/SLC47A2/ANXA1/SCNN1G/CD44/CA12/CRB2/ZMYND10/PDPN/KCNE1/C5AR1/CAV1/OSMR/FOLR1/SLC22A18/MUC1/STC1/SLC16A3/ITPR3/ATP6V0D2/SCNN1A/SLC34A2/CLDN4/SNX10/SLC39A14/RAB27A/PLB1/SLC2A5/MSN/CEACAM1/FAP/VCAM1/IL10RA/TCIRG1/SPEF1/ITGB3/P2RY6/HFE",39
"GO:0009925","GO:0009925","basal plasma membrane","28/684","289/16019",0.0968858131487889,2.26902608308545,4.5977506445121,4.72588262617194e-05,0.000399255601176595,0.000319061404162606,"ABCC3/CA9/ANXA1/AQP9/CD44/CA12/PDPN/C5AR1/CAV1/ITGB4/ANXA2/TACSTD2/FOLR1/MET/ITGA3/MTTP/NOD2/SLC16A3/ST14/CLDN4/SLC39A14/MSN/CEACAM1/SPEF1/B4GALT1/SLC43A3/SLC16A10/P2RY6",28
"GO:0016324","GO:0016324","apical plasma membrane","33/684","381/16019",0.0866141732283465,2.02846848091357,4.29094724740323,9.61041571953792e-05,0.000735797453527122,0.000588005698629623,"SCNN1B/LRRC15/SLC47A2/ANXA1/SCNN1G/CD44/CA12/CRB2/ZMYND10/PDPN/KCNE1/CAV1/OSMR/FOLR1/SLC22A18/MUC1/STC1/SLC16A3/ATP6V0D2/SCNN1A/SLC34A2/CLDN4/SLC39A14/RAB27A/PLB1/SLC2A5/MSN/CEACAM1/IL10RA/TCIRG1/SPEF1/ITGB3/P2RY6",33
"GO:0001533","GO:0001533","cornified envelope","9/684","57/16019",0.157894736842105,3.69783010156971,4.30922009148752,0.00064100444331178,0.00449316370765962,0.00359067003061091,"PI3/ANXA1/PPL/KRT75/CSTA/ANXA2/KRT16/CDSN/HSPB1",9
