"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","leukocyte migration","80/1196","374/15424",0.213903743315508,2.75857135192174,9.98172581029376,3.17202107146025e-17,6.81350126149661e-14,4.76137057673927e-14,"SAA1/CXCL3/TNFSF14/SERPINE1/TREM1/RARRES2/CXCL6/CXCL5/CCL20/ANXA1/FPR2/FOXJ1/CCL18/CXCL1/CCL7/CCL2/MYO1G/ICAM1/EDN2/LGALS3/S100A8/PPBP/C5AR1/THBS1/ADAM8/IL6/CXCL2/S100A9/ITGA3/CCL13/IL10/CHST4/NOD2/SLAMF8/LBP/GDF15/CCR2/S100A12/MMP14/GCNT1/GATA3/NLRP12/IL1B/CCR5/ALOX5/VEGFA/SELL/CSF1/HSD3B7/BDKRB1/MSN/CXCR4/IL1R1/F11R/CXCR3/DUSP1/ITGA2/LCK/VCAM1/ITGB2/FCER1G/ITGB3/B4GALT1/CD99/CD74/CYP19A1/HMOX1/SLAMF1/CCL5/LEP/VAV3/KLRK1/PODXL2/SMPD3/KIT/F7/PLCB1/MSTN/EDN3/CHGA",80
"GO:0002250","adaptive immune response","85/1196","440/15424",0.193181818181818,2.49133475220432,9.20164947078862,1.96171154671466e-15,2.10687820117154e-12,1.47231613979742e-12,"FCGR2B/TREM1/SOCS3/CLCF1/ANXA1/FOXJ1/MYO1G/CFI/FCGR2C/ICAM1/IL21R/BCL3/C1R/C1S/SLC11A1/CR1/LILRA6/C1RL/LILRB3/LILRB2/IL6/CD70/IL10/IL18R1/SECTM1/ERAP2/SERPING1/NOD2/SLAMF6/NFKBIZ/CCR2/PDCD1LG2/GATA3/ZC3H12A/IL1RL1/CD3D/FCGR3A/CTLA4/LAIR1/C3/BATF/CD7/FCGR2A/IL1B/CD274/C6/CLEC4D/ITK/IL7R/RAB27A/C1QA/SIGLEC10/IL18RAP/SLA2/IL2RB/TEC/CEACAM1/C1QB/IL1R1/CSF2RB/JUNB/TNFRSF1B/PRF1/TCIRG1/WAS/FCER1G/C1QC/TRAT1/LAX1/TLR8/TNFAIP3/CD74/CD3E/LILRA3/LILRB1/CTSC/SLAMF1/C2/HFE/LAMP3/TNFRSF13C/KLRK1/RAPGEF4/PRKCZ/KLRC2",85
"GO:0002449","lymphocyte mediated immunity","63/1196","282/15424",0.223404255319149,2.8810930050523,9.24317749047188,9.58724265398048e-15,5.58817203067159e-12,3.90509326459751e-12,"FCGR2B/CLCF1/FOXJ1/MYO1G/CFI/FCGR2C/ICAM1/IL21R/BCL3/C1R/C1S/CR1/C1RL/IL6/CD70/IL10/IL18R1/SECTM1/SERPING1/NOD2/SLAMF6/NFKBIZ/CCR2/GATA3/FCGR3A/C3/BATF/CD7/FCGR2A/IL1B/CD274/C6/IL7R/RAB27A/C1QA/IL18RAP/SLA2/IL2RB/CEACAM1/C1QB/IL1R1/CSF2RB/CD2/TNFRSF1B/PRF1/TCIRG1/WAS/FCER1G/C1QC/CD96/TLR8/CD74/LILRB1/CTSC/SLAMF1/C2/LEP/HFE/KLRK1/PRKCZ/KLRC3/KLRC4/KLRC2",63
"GO:0006959","humoral immune response","61/1196","268/15424",0.227611940298507,2.93535666150851,9.26646737923071,1.04062793867255e-14,5.58817203067159e-12,3.90509326459751e-12,"PI3/LTF/MMP7/CXCL3/FCGR2B/TREM1/RARRES2/SLPI/CXCL6/CXCL5/CFB/CCL20/FOXJ1/HAMP/CCL18/CXCL1/CCL7/CCL2/CAMP/CFI/LGALS3/PPBP/BCL3/ADM/C1R/C1S/SLC11A1/CR1/C1RL/IL6/CXCL2/S100A9/RNASE3/CCL13/SERPING1/NOD2/CXCL14/CCR2/S100A12/GATA3/ANG/C3/IL1B/C6/TSLP/VSIG4/ALOX5/C1QA/C1QB/FCN3/LYZ/C1QC/IL7/C2/CCL5/RNASE4/CFD/EVPL/VIP/PRSS3/TAC1",61
"GO:0030198","extracellular matrix organization","65/1196","308/15424",0.211038961038961,2.72162619988707,8.84858588759756,6.29977651821918e-14,2.33044421334562e-11,1.62854721563797e-11,"MMP7/IBSP/LOX/PTX3/COL8A1/COL1A1/COL13A1/COL22A1/HAS3/PDPN/BCL3/ADAM8/CAV1/LOXL4/ANXA2/COL3A1/IL6/MMP1/AEBP1/ELF3/TGFBI/COL5A1/ADAMTSL4/COL1A2/TNFRSF11B/MMP14/LOXL1/COL14A1/ADAMTS14/RUNX1/EFEMP2/FBLN5/FBLN1/DMP1/ADAMTS2/SLC2A10/PAPLN/COL6A1/FAP/ITGA2/LOXL2/TNFRSF1B/COL8A2/ITGB3/ECM2/HAS2/B4GALT1/COL4A1/LAMB1/P4HA3/MMP11/TNFRSF1A/CLASP2/SMPD3/NTN4/TCF15/MMP16/COL11A2/FERMT1/RXFP1/ADAMTS20/SMOC1/MMP17/TNR/ADAMTS19",65
"GO:0043062","extracellular structure organization","65/1196","309/15424",0.210355987055016,2.7128183481075,8.8178876556213,7.39391869952808e-14,2.33044421334562e-11,1.62854721563797e-11,"MMP7/IBSP/LOX/PTX3/COL8A1/COL1A1/COL13A1/COL22A1/HAS3/PDPN/BCL3/ADAM8/CAV1/LOXL4/ANXA2/COL3A1/IL6/MMP1/AEBP1/ELF3/TGFBI/COL5A1/ADAMTSL4/COL1A2/TNFRSF11B/MMP14/LOXL1/COL14A1/ADAMTS14/RUNX1/EFEMP2/FBLN5/FBLN1/DMP1/ADAMTS2/SLC2A10/PAPLN/COL6A1/FAP/ITGA2/LOXL2/TNFRSF1B/COL8A2/ITGB3/ECM2/HAS2/B4GALT1/COL4A1/LAMB1/P4HA3/MMP11/TNFRSF1A/CLASP2/SMPD3/NTN4/TCF15/MMP16/COL11A2/FERMT1/RXFP1/ADAMTS20/SMOC1/MMP17/TNR/ADAMTS19",65
"GO:0045229","external encapsulating structure organization","65/1196","310/15424",0.209677419354839,2.70406732117812,8.78731058972631,8.6706203507863e-14,2.33044421334562e-11,1.62854721563797e-11,"MMP7/IBSP/LOX/PTX3/COL8A1/COL1A1/COL13A1/COL22A1/HAS3/PDPN/BCL3/ADAM8/CAV1/LOXL4/ANXA2/COL3A1/IL6/MMP1/AEBP1/ELF3/TGFBI/COL5A1/ADAMTSL4/COL1A2/TNFRSF11B/MMP14/LOXL1/COL14A1/ADAMTS14/RUNX1/EFEMP2/FBLN5/FBLN1/DMP1/ADAMTS2/SLC2A10/PAPLN/COL6A1/FAP/ITGA2/LOXL2/TNFRSF1B/COL8A2/ITGB3/ECM2/HAS2/B4GALT1/COL4A1/LAMB1/P4HA3/MMP11/TNFRSF1A/CLASP2/SMPD3/NTN4/TCF15/MMP16/COL11A2/FERMT1/RXFP1/ADAMTS20/SMOC1/MMP17/TNR/ADAMTS19",65
"GO:0042391","regulation of membrane potential","81/1196","436/15424",0.185779816513761,2.39587616213065,8.57228070775825,8.67949427689243e-14,2.33044421334562e-11,1.62854721563797e-11,"LTF/KCNN4/KCNE1/CAV1/SOD2/CHRNA9/MET/GNA15/FLNA/COL6A1/KCNA2/TRPC5/GABBR1/BOK/CTNNA3/NALCN/SCN3A/KCNG4/STX1B/ATP1A2/KCTD16/KCNJ9/SCN5A/KCNK4/KCNH4/RIMS4/GABRD/KCNH8/CHRNA2/CHRNB2/KCNA4/CACNA1I/FGF12/KCNK2/GRIN2C/CACNG2/KCNH5/RGS7BP/GABRQ/KCNA1/RIMS1/NRXN1/PRKCZ/KCNQ2/FGF13/GABRB2/KCNS2/KCNB1/SLC8A2/CELF4/GJD2/KCNB2/GLRA2/KCND2/CUX2/GRIA2/GABRA3/KCNMB2/GABRA2/KCNIP2/OPRD1/GABRB3/ABCC8/KCNJ3/CHRNA4/ATP1A3/NPPA/RYR2/RIMS2/CBLN1/GRIA4/CHRM1/GRIN1/NETO1/HCN1/KCNC2/GLRA3/GRID2/GABRG2/GABRA1/SLC1A6",81
"GO:0002443","leukocyte mediated immunity","73/1196","373/15424",0.195710455764075,2.52394487433536,8.63811708633037,1.02610724885574e-13,2.44897596726903e-11,1.71137887353016e-11,"SCNN1B/FCGR2B/TREM1/CXCL6/CLCF1/FOXJ1/MYO1G/CFI/FCGR2C/ICAM1/IL21R/BCL3/C1R/C1S/CR1/C1RL/IL6/CD70/FCAR/IL10/IL18R1/SECTM1/SERPING1/NOD2/SLAMF6/NFKBIZ/CCR2/GATA3/FCGR3A/C3/BATF/CD7/FCGR2A/IL1B/CD274/C6/IL7R/RAB27A/C1QA/IL18RAP/NLRP6/SLA2/IL2RB/CEACAM1/C1QB/IL1R1/CSF2RB/CD2/ITGAM/TNFRSF1B/PRF1/ITGB2/TCIRG1/WAS/FCER1G/C1QC/CD96/TLR8/CD74/LILRB1/CTSC/SLAMF1/C2/LEP/HFE/KLRK1/KIT/PRKCZ/CPLX2/CHGA/KLRC3/KLRC4/KLRC2",73
"GO:0006935","chemotaxis","80/1196","431/15424",0.185614849187935,2.39374869053069,8.50857688957133,1.30591617876365e-13,2.80510795198432e-11,1.9602489167547e-11,"SAA1/CXCL3/TNFSF14/LOX/SERPINE1/TREM1/RARRES2/CXCL6/CXCL5/CCL20/ANXA1/FPR2/CCL18/PLAU/PLP2/CXCL1/CCL7/RNASE2/CCL2/FOSL1/EDN2/LGALS3/S100A8/PPBP/C5AR1/THBS1/ADAM8/IL6/CXCL2/S100A9/MET/RNASE3/CCL13/IL10/NOD2/SLAMF8/LBP/CXCL14/PLAUR/CCR2/S100A12/S100A4/IL1B/CCR5/FPR3/TYMP/ALOX5/VEGFA/CSF1/HSD3B7/F3/CXCR4/CXCR3/DUSP1/ITGA2/VCAM1/ITGB2/FPR1/FCER1G/ITGB3/CD74/CYP19A1/NRP1/SLAMF1/CCL5/HSPB1/VAV3/ATOH7/FGF8/KLRK1/KIT/SLIT1/EPHB1/F7/FEZF2/MSTN/EDN3/SEMA3D/CHGA/LRTM2",80
