"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","28/325","404/13892",0.0693069306930693,2.96249809596344,6.19573268176494,2.93474779272242e-07,0.000257377381421756,0.000233853060956934,"PRKCZ/PLPPR4/KCNJ10/SNCG/NRXN2/GRIA4/LRRK2/CUX2/PCDH17/HAP1/GFAP/NGFR/DLGAP1/PDE9A/S100B/EPHB1/NSG1/LRRTM2/DRD1/CNR1/GRIK2/ADCY1/NEFL/CALB1/NTRK2/ROR2/CHRDL1/GRIA3",28
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","28/325","404/13892",0.0693069306930693,2.96249809596344,6.19573268176494,2.93474779272242e-07,0.000257377381421756,0.000233853060956934,"PRKCZ/PLPPR4/KCNJ10/SNCG/NRXN2/GRIA4/LRRK2/CUX2/PCDH17/HAP1/GFAP/NGFR/DLGAP1/PDE9A/S100B/EPHB1/NSG1/LRRTM2/DRD1/CNR1/GRIK2/ADCY1/NEFL/CALB1/NTRK2/ROR2/CHRDL1/GRIA3",28
"GO:0030198","GO:0030198","extracellular matrix organization","21/325","283/13892",0.0742049469964664,3.17186191899973,5.71319233576057,3.23215637107453e-06,0.0012668956400489,0.00115110124169359,"VWA1/TIE1/TLL2/COL17A1/WT1/MMP7/MMP10/MPZL3/ADAMTS15/PAPLN/SPINT1/GFAP/COL5A3/HPN/MMP9/COL9A3/FBLN1/PDGFRA/ELN/CTSV/GPM6B",21
"GO:0043062","GO:0043062","extracellular structure organization","21/325","284/13892",0.073943661971831,3.16069339111593,5.69405538236424,3.41702064560692e-06,0.0012668956400489,0.00115110124169359,"VWA1/TIE1/TLL2/COL17A1/WT1/MMP7/MMP10/MPZL3/ADAMTS15/PAPLN/SPINT1/GFAP/COL5A3/HPN/MMP9/COL9A3/FBLN1/PDGFRA/ELN/CTSV/GPM6B",21
"GO:0045229","GO:0045229","external encapsulating structure organization","21/325","285/13892",0.0736842105263158,3.1496032388664,5.67500265499351,3.6114470924997e-06,0.0012668956400489,0.00115110124169359,"VWA1/TIE1/TLL2/COL17A1/WT1/MMP7/MMP10/MPZL3/ADAMTS15/PAPLN/SPINT1/GFAP/COL5A3/HPN/MMP9/COL9A3/FBLN1/PDGFRA/ELN/CTSV/GPM6B",21
"GO:0045104","GO:0045104","intermediate filament cytoskeleton organization","9/325","55/13892",0.163636363636364,6.99457342657343,6.89422070038807,4.63431093683847e-06,0.00135476356386911,0.00123093802778482,"ATP8A2/KRT32/KRT13/KRT15/KRT19/KRT16/KRT17/GFAP/NEFL",9
"GO:0045103","GO:0045103","intermediate filament-based process","9/325","56/13892",0.160714285714286,6.86967032967033,6.81191108031788,5.40946550452962e-06,0.00135545749927785,0.00123156853742223,"ATP8A2/KRT32/KRT13/KRT15/KRT19/KRT16/KRT17/GFAP/NEFL",9
"GO:0061564","GO:0061564","axon development","27/325","456/13892",0.0592105263157895,2.53093117408907,5.1448132374089,9.49084822290541e-06,0.00174569869332721,0.00158614164418016,"PLPPR4/NFASC/PRKCQ/CNTN1/NELL2/ATP8A2/SEMA6D/NGFR/ARK2C/BMP7/S100B/GAP43/SEMA5B/EPHB1/CSF1R/SLIT3/CNR1/POU3F2/ADCY1/COBL/PTPRZ1/FEZF1/NEFL/NTRK2/GPM6B/SLITRK4/SLITRK2",27
"GO:0050806","GO:0050806","positive regulation of synaptic transmission","13/325","129/13892",0.10077519379845,4.30759689922481,5.84140610175292,1.01837476806737e-05,0.00174569869332721,0.00158614164418016,"PRKCZ/HAP1/GFAP/PDE9A/NSG1/LRRTM2/DRD1/GRIK2/ADCY1/CALB1/NTRK2/ROR2/GRIA3",13
"GO:0060291","GO:0060291","long-term synaptic potentiation","10/325","76/13892",0.131578947368421,5.62429149797571,6.25644109614707,1.03894233060756e-05,0.00174569869332721,0.00158614164418016,"PRKCZ/GFAP/PDE9A/NSG1/LRRTM2/DRD1/ADCY1/CALB1/NTRK2/GRIA3",10
"GO:0007409","GO:0007409","axonogenesis","25/325","408/13892",0.0612745098039216,2.61915535444947,5.13778295538152,1.14626903094408e-05,0.00174569869332721,0.00158614164418016,"PLPPR4/NFASC/PRKCQ/CNTN1/NELL2/ATP8A2/SEMA6D/NGFR/ARK2C/BMP7/S100B/GAP43/SEMA5B/EPHB1/CSF1R/SLIT3/POU3F2/ADCY1/COBL/PTPRZ1/FEZF1/NEFL/NTRK2/SLITRK4/SLITRK2",25
"GO:0021782","GO:0021782","glial cell development","12/325","112/13892",0.107142857142857,4.57978021978022,5.88717967011841,1.1943206567803e-05,0.00174569869332721,0.00158614164418016,"KCNJ10/ZNF488/CNTN1/GFAP/MAL/DRD1/TTBK1/POU3F2/NTRK2/ROR2/LAMC3/GPM6B",12
"GO:0042303","GO:0042303","molting cycle","11/325","97/13892",0.11340206185567,4.84732751784298,5.88505731953323,1.60696505068795e-05,0.00201329764207618,0.00182928202010643,"PKP3/ALX4/MPZL3/LGR5/SOX21/TRPV3/KRT16/KRT17/NGFR/SNAI1/SOX18",11
"GO:0042633","GO:0042633","hair cycle","11/325","97/13892",0.11340206185567,4.84732751784298,5.88505731953323,1.60696505068795e-05,0.00201329764207618,0.00182928202010643,"PKP3/ALX4/MPZL3/LGR5/SOX21/TRPV3/KRT16/KRT17/NGFR/SNAI1/SOX18",11
