"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","22/232","283/13892",0.0777385159010601,4.65492871938589,8.09551385997593,2.10673544324689e-09,1.32076134828881e-06,1.0951894235276e-06,"AGT/COL13A1/ADAMTS14/ADAMTS20/COL2A1/LRP1/LUM/POSTN/MMP14/FBLN5/ADAMTS18/MFAP4/FAP/LARGE1/PTX3/NPNT/SPINK5/COL12A1/TNFRSF11B/COL14A1/HAS2/COL15A1",22
"GO:0043062","GO:0043062","extracellular structure organization","22/232","284/13892",0.0774647887323944,4.63853812530355,8.07373234838167,2.25025398174047e-09,1.32076134828881e-06,1.0951894235276e-06,"AGT/COL13A1/ADAMTS14/ADAMTS20/COL2A1/LRP1/LUM/POSTN/MMP14/FBLN5/ADAMTS18/MFAP4/FAP/LARGE1/PTX3/NPNT/SPINK5/COL12A1/TNFRSF11B/COL14A1/HAS2/COL15A1",22
"GO:0045229","GO:0045229","external encapsulating structure organization","22/232","285/13892",0.0771929824561404,4.62226255293406,8.05205183854724,2.4028405366079e-09,1.32076134828881e-06,1.0951894235276e-06,"AGT/COL13A1/ADAMTS14/ADAMTS20/COL2A1/LRP1/LUM/POSTN/MMP14/FBLN5/ADAMTS18/MFAP4/FAP/LARGE1/PTX3/NPNT/SPINK5/COL12A1/TNFRSF11B/COL14A1/HAS2/COL15A1",22
"GO:0001501","GO:0001501","skeletal system development","25/232","462/13892",0.0541125541125541,3.2402224212569,6.382039964446,2.30663565510352e-07,9.50910548816426e-05,7.8850518841565e-05,"CHI3L1/COL13A1/SOX6/WNT5B/MGP/COL2A1/MMP14/BMP4/FMN1/NOG/SIGLEC15/ACP5/OSR1/GDF5/LOC102724560/LARGE1/WNT7B/TP63/RANBP3L/FST/FBN2/FGF18/GDF6/TNFRSF11B/HAS2",25
"GO:0050954","GO:0050954","sensory perception of mechanical stimulus","13/232","154/13892",0.0844155844155844,5.05474697716077,6.59398206447302,1.83504252020378e-06,0.000605197023163206,0.000501835838683096,"ROR1/KCNK2/COL2A1/PTPRQ/SLITRK6/CEMIP/MYO15A/PIEZO2/ATP8B1/SERPINE2/LARGE1/CHRNA9/CLIC5",13
"GO:0072006","GO:0072006","nephron development","12/232","135/13892",0.0888888888888889,5.32260536398467,6.57712358050586,2.68071334364406e-06,0.000632525357582221,0.000524496785611251,"AGT/ACTA2/PTPRO/BMP4/FMN1/NOG/BCL2/NOTCH3/OSR1/WNT7B/NPNT/DCHS2",12
"GO:0009612","GO:0009612","response to mechanical stimulus","14/232","187/13892",0.0748663101604278,4.48294302046838,6.24903635682309,3.06864940003503e-06,0.000632525357582221,0.000524496785611251,"CHI3L1/KCNK2/KCNC1/DRD2/PTPRQ/POSTN/SLITRK6/MMP14/PIEZO2/SERPINE2/GDF5/LARGE1/CHRNA9/ETV1",14
"GO:0043583","GO:0043583","ear development","14/232","187/13892",0.0748663101604278,4.48294302046838,6.24903635682309,3.06864940003503e-06,0.000632525357582221,0.000524496785611251,"ROR1/KCNK2/COL2A1/SLITRK6/BMP4/MYO15A/NOG/ATP8B1/BCL2/OSR1/KCNK3/CHRNA9/CTHRC1/SHROOM2",14
"GO:0007600","GO:0007600","sensory perception","20/232","380/13892",0.0526315789473684,3.15154264972777,5.54201041895658,6.00851066854661e-06,0.00110089267693704,0.000912871971747608,"ROR1/KCNK2/BEST1/ANO1/DRD2/COL2A1/PTPRQ/LUM/SLITRK6/CEMIP/MYO15A/PIEZO2/ATP8B1/C5AR1/SERPINE2/TIMP3/LARGE1/CHRNA9/CLIC5/GPR143",20
"GO:0021675","GO:0021675","nerve development","9/232","81/13892",0.111111111111111,6.65325670498084,6.64988372682554,7.94347162497284e-06,0.00114537591384543,0.000949757947135558,"EGR2/KCNC1/SLITRK6/ATP8B1/PRKCG/SERPINE2/LARGE1/PLXNA4/LPAR1",9
"GO:0048705","GO:0048705","skeletal system morphogenesis","14/232","203/13892",0.0689655172413793,4.12960760998811,5.85379412953434,7.964765153155e-06,0.00114537591384543,0.000949757947135558,"COL13A1/SOX6/MGP/COL2A1/MMP14/BMP4/FMN1/NOG/ACP5/OSR1/LOC102724560/FBN2/FGF18/HAS2",14
"GO:0051216","GO:0051216","cartilage development","13/232","177/13892",0.0734463276836158,4.39791544905513,5.9290715825754,8.56457725280886e-06,0.00114537591384543,0.000949757947135558,"CHI3L1/SOX6/WNT5B/MGP/COL2A1/BMP4/NOG/OSR1/GDF5/LOC102724560/WNT7B/FGF18/GDF6",13
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","11/232","127/13892",0.0866141732283465,5.18639695900081,6.17645892080143,9.02964637961828e-06,0.00114537591384543,0.000949757947135558,"CADM3/IGSF9/CDH20/CDH7/DCHS2/CDH6/PCDHB6/PCDHB8/PCDHB11/PCDHGB1/PCDH1",11
"GO:0030335","GO:0030335","positive regulation of cell migration","22/232","467/13892",0.0471092077087794,2.82086686849295,5.21632792225316,1.18956998006244e-05,0.00138139103379301,0.00114546420663057,"LGR6/AGT/ACTA2/WNT5B/POSTN/MMP14/BMP4/PGF/CEMIP/BCL2/C5AR1/FN1/JAM2/SEMA5A/CSF2/FGF18/GPNMB/SEMA3E/RARRES2/ADGRA2/HAS2/LPAR1",22
"GO:0001503","GO:0001503","ossification","19/232","366/13892",0.0519125683060109,3.10848878839269,5.32736613473563,1.25657158925986e-05,0.00138139103379301,0.00114546420663057,"EGR2/COL13A1/IFITM1/MGP/COL2A1/MMP14/BMP4/NOG/BCL2/OSR1/GDF5/LOC102724560/WNT7B/TP63/NPNT/RANBP3L/FBN2/FGF18/CTHRC1",19
"GO:0034329","GO:0034329","cell junction assembly","21/232","440/13892",0.0477272727272727,2.85787617554859,5.16101442529345,1.5589933630506e-05,0.00160673753479402,0.00133232393329127,"AGT/DRD2/PTPRO/SLITRK6/MMP14/FMN1/CLDN9/LAMA3/CDH20/BCL2/CDH7/FN1/DNER/SNAP25/LARGE1/CDH6/PCDHB6/PCDHB11/ADGRF1/PTPRK/PLXNA4",21
"GO:0061448","GO:0061448","connective tissue development","15/232","247/13892",0.0607287449392713,3.6363953650705,5.44825774012108,1.74138365181429e-05,0.00168914214225986,0.00140065471436951,"CHI3L1/ACTA2/SOX6/WNT5B/MGP/COL2A1/BMP4/NOG/OSR1/GDF5/LOC102724560/LARGE1/WNT7B/FGF18/GDF6",15
