"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","21/339","329/14552",0.0638297872340425,2.73997363961589,4.93001685673152,3.05814697092127e-05,0.00404120832714998,0.00358516758050998,"VWA1/TINAGL1/LAMC2/ANXA8/COL17A1/VWA2/ADAMTS15/MFAP5/SERPINA5/COLEC12/EMILIN2/COL5A3/MMP9/BMP7/COL9A3/FBLN1/THBS4/ELN/PTPRZ1/LAMC3/GPC3",21
"GO:0044297","GO:0044297","cell body","26/339","465/14552",0.0559139784946237,2.40017762552733,4.73918589247904,3.52943958703055e-05,0.00404120832714998,0.00358516758050998,"PRKCZ/KCND3/KCNN3/KCNJ10/RGS8/SNCG/SLC1A2/GRIA4/LRRK2/MYO1D/GFAP/NGFR/HPN/SYNDIG1/PDE9A/S100B/GAP43/CTNND2/TTBK1/GRIK2/COBL/CALB1/ROR2/ASTN2/ZC4H2/DRP2",26
"GO:0098982","GO:0098982","GABA-ergic synapse","9/339","83/14552",0.108433734939759,4.65465401428724,5.15667128498528,0.000131160682144839,0.00569834500103232,0.00505530032268094,"KCND3/PCDH17/ERC2/GAP43/LRRTM2/DRD1/CNR1/CALB1/SLITRK2",9
"GO:0150034","GO:0150034","distal axon","16/339","236/14552",0.0677966101694915,2.91025448727564,4.56919588081019,0.000134941069460826,0.00569834500103232,0.00505530032268094,"KIF21B/SNCG/LRRK2/HAP1/NGFR/MYH14/ERC2/GAP43/BASP1/CNR1/GRIK2/COBL/NEFL/CALB1/NTRK2/CCDC120",16
"GO:0031012","GO:0031012","extracellular matrix","23/339","423/14552",0.0543735224586288,2.33405161893206,4.30021823801133,0.000151380405161956,0.00569834500103232,0.00505530032268094,"VWA1/TINAGL1/LAMC2/ANXA8/COL17A1/VWA2/MMP7/MMP10/ADAMTS15/MFAP5/SERPINA5/COLEC12/EMILIN2/COL5A3/MMP9/BMP7/COL9A3/FBLN1/THBS4/ELN/PTPRZ1/LAMC3/GPC3",23
"GO:0030312","GO:0030312","external encapsulating structure","23/339","424/14552",0.0542452830188679,2.32854678020816,4.28768456499741,0.000156713380771355,0.00569834500103232,0.00505530032268094,"VWA1/TINAGL1/LAMC2/ANXA8/COL17A1/VWA2/MMP7/MMP10/ADAMTS15/MFAP5/SERPINA5/COLEC12/EMILIN2/COL5A3/MMP9/BMP7/COL9A3/FBLN1/THBS4/ELN/PTPRZ1/LAMC3/GPC3",23
"GO:0042383","GO:0042383","sarcolemma","11/339","126/14552",0.0873015873015873,3.74753008381327,4.78363634014526,0.000174185218372167,0.00569834500103232,0.00505530032268094,"KCND3/CASQ1/ANXA8L1/ANXA8/STAC2/KRT19/PDE9A/CACNA1D/SGCD/AQP1/FLNC",11
"GO:0043025","GO:0043025","neuronal cell body","22/339","408/14552",0.053921568627451,2.31465093411996,4.15965970821571,0.000236404895733661,0.00634443266908229,0.00562847853428123,"PRKCZ/KCND3/KCNN3/RGS8/SNCG/GRIA4/LRRK2/MYO1D/NGFR/HPN/PDE9A/S100B/GAP43/CTNND2/TTBK1/GRIK2/COBL/CALB1/ROR2/ASTN2/ZC4H2/DRP2",22
"GO:0097060","GO:0097060","synaptic membrane","20/339","357/14552",0.0560224089635854,2.40483213934541,4.15044091222925,0.00027595906682028,0.00634443266908229,0.00562847853428123,"PLPPR4/KCND3/SLC1A2/NRXN2/PDE2A/GRIA4/CNTN1/PCDH17/SYNDIG1/ERC2/NSG1/PCDH10/LRRTM2/DRD1/CNR1/GRIK2/ADCY1/ZC4H2/GRIA3/GABRA3",20
"GO:0030426","GO:0030426","growth cone","12/339","155/14552",0.0774193548387097,3.32332286611476,4.49099741375423,0.000277049461531978,0.00634443266908229,0.00562847853428123,"KIF21B/LRRK2/HAP1/NGFR/MYH14/ERC2/GAP43/BASP1/CNR1/COBL/NEFL/CCDC120",12
