"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0000070","mitotic sister chromatid segregation",187,-0.564204455152356,-2.23176587713979,1e-10,2.57e-08,1.61315789473684e-08,2080,"tags=36%, list=12%, signal=32%","KIF2A/ABRAXAS2/CDK1/NCAPG/PCID2/CHMP6/HASPIN/KNL1/CENPE/CLASP2/WRAP73/KPNB1/NDC80/NSL1/TPX2/IK/KIF18B/BECN1/RAB11A/SMC4/NCAPH/CENPI/NCAPD2/ANAPC11/RCC1/CENPF/INCENP/CDC16/CDC23/MZT1/POLDIP2/DUSP1/SKA3/RACGAP1/TTK/RB1/KIF23/UBE2C/NUSAP1/SKA2/TRIP13/NUDC/BUB1/BUB1B/DLGAP5/SPDL1/AURKB/BCCIP/CCSAP/PRC1/TUBG1/NUF2/PSRC1/KNSTRN/KIF14/BIRC5/CDCA8/KIF18A/KIF2C/SPAG5/BUB3/PLK1/KIF4A/NEK2/CCNB1/CDC20/RIPOR2"
"GO:0048705","skeletal system morphogenesis",203,0.549263798111411,2.19913007133797,1e-10,2.57e-08,1.61315789473684e-08,3216,"tags=41%, list=19%, signal=34%","NOG/MMP14/BMP4/HAS2/LTBP3/FBN2/MMP2/SIX1/FGF18/FGFR1/MGP/EXT1/MDFI/RDH10/CSGALNACT1/COL13A1/ACP5/DHRS3/NAB2/LRP5/TGFBR1/HOXB9/VEGFA/COL2A1/MEGF8/SFRP1/OSR1/PRRX1/THBS3/FMN1/ZEB1/MMP16/SIX4/NAB1/TGFB1/LAMA5/BMPR2/RAB23/LOC102724560/ANKRD11/EYA1/FOXN3/BMPR1B/TFAP2A/PKD1/GLI3/CCN2/SATB2/SOX6/FOXC1/SHOX2/HOXD8/NPR2/CHSY1/RARG/MTHFD1/NDST1/COL27A1/TWIST1/TGFB3/OSR2/IFT140/HOXB8/GHR/DLX2/SCX/SGPL1/WDR19/TRIP11/CBS/ARID5B/MSX1/SPEF2/PPARGC1B/RUNX2/DYNC2I1/NKX3-2/ATF2/SETD2/FOSL2/ALPL/INPPL1/GLG1/BPNT2"
"GO:0140014","mitotic nuclear division",264,-0.510175647195111,-2.08743318653497,1e-10,2.57e-08,1.61315789473684e-08,2215,"tags=34%, list=13%, signal=31%","DRG1/ANLN/NPM2/CAV2/PIN1/KIF2A/ABRAXAS2/CDK1/NCAPG/EDN1/PCID2/CHMP6/HASPIN/KNL1/CENPE/PPP2R2D/CLASP2/WRAP73/KPNB1/NDC80/NSL1/TPX2/IK/KIF18B/CDCA2/BECN1/RAB11A/SMC4/REEP4/EPS8/NCAPH/CENPI/KIF20B/BROX/PRMT5/CEP85/NCAPD2/BMP7/ANAPC11/TOM1L1/RCC1/CENPF/INCENP/CDC16/CDC23/CDC42/NSFL1C/MZT1/POLDIP2/DUSP1/SKA3/AURKAIP1/RACGAP1/TTK/RB1/KIF23/UBE2C/NUSAP1/SKA2/BORA/TRIP13/NUDC/BUB1/BUB1B/DLGAP5/SPDL1/AURKB/BCCIP/CCSAP/PRC1/TUBG1/CDC25C/UBE2S/NUF2/PSRC1/KNSTRN/KIF14/BIRC5/CDCA8/TOM1L2/KIF18A/AURKA/KIF2C/SPAG5/BUB3/PLK1/KIF4A/NEK2/CCNB1/CDC20/RIPOR2"
"GO:0098813","nuclear chromosome segregation",291,-0.488166480131536,-2.01918873787061,1e-10,2.57e-08,1.61315789473684e-08,2080,"tags=29%, list=12%, signal=26%","KIF2A/ABRAXAS2/ARID1B/CDK1/RCC2/NCAPG/PCID2/CHMP6/HASPIN/KNL1/CENPE/CLASP2/WRAP73/KPNB1/NDC80/NSL1/TPX2/IK/KIF18B/BECN1/NDC1/RAB11A/SMC4/NCAPH/CENPI/NCAPD2/ANAPC11/GEM/RCC1/CENPF/INCENP/CDC16/CDC23/CDC42/SMARCD2/MZT1/POLDIP2/DUSP1/SKA3/ACTL6A/RACGAP1/SIRT7/TTK/RB1/KIF23/UBE2C/ASPM/PMF1/NUSAP1/SKA2/TRIP13/NUDC/BUB1/CDC27/BUB1B/DLGAP5/SPDL1/AURKB/BCCIP/CCSAP/PRC1/TUBG1/FAM83D/NUF2/PSRC1/TOP2A/KNSTRN/ECT2/KIF14/BIRC5/CDCA8/CCNB2/KIF18A/AURKA/KIF2C/SPAG5/BUB3/PLK1/KIF4A/NEK2/PTTG1/CCNB1/CDC20/RIPOR2"
"GO:0001501","skeletal system development",462,0.460728390518914,1.99178967300339,1e-10,2.57e-08,1.61315789473684e-08,2518,"tags=30%, list=15%, signal=27%","NOG/CHI3L1/MMP14/BMP4/HAS2/LTBP3/PAPSS2/RASSF2/FBN2/MMP2/FST/WNT7B/WNT5B/SIX1/FGF18/TNFRSF11B/FGFR1/MGP/DDR2/ERRFI1/EXT1/GDF11/VDR/MDFI/LRRC17/SLC2A10/RDH10/CSGALNACT1/COL6A1/COL13A1/ACP5/HMGA2/TGM2/DHRS3/NAB2/COL1A2/LRP5/TGFBR1/VCAN/HOXB9/VEGFA/COL2A1/LARGE1/MEGF8/SFRP1/OSR1/PRRX1/GDF6/THBS3/FMN1/ZEB1/MMP16/SIX4/NAB1/WNT9A/PLXNB1/SRC/TGFB1/LAMA5/BMPR2/RAB23/MAPK11/CREB3L2/SRF/LOC102724560/SULF2/ANKRD11/FRZB/EYA1/PDGFC/COL18A1/FOXN3/PAPSS1/GDF5/RANBP3L/DCHS1/BMPR1B/TFAP2A/RUNX1/PKD1/SRD5A1/GLI3/ADAMTS7/MOSMO/FAM20C/CCN2/SATB2/SOX6/GLI2/ANKH/FOXC1/SHOX2/CCN3/EVC/BGN/SMAD1/DLX1/HOXD8/PTPN11/NPR2/BMPR1A/PKDCC/HEXA/ZNF219/LNPK/CHSY1/RARG/MTHFD1/SLC26A2/CCN1/BNC2/NDST1/TLE5/COL27A1/TWIST1/TGFB3/CDH11/OSR2/ACVR2A/MKKS/LOX/ARID5A/TLL1/SNX19/IFT140/AKAP13/GNAS/HOXC10/FBN1/HAPLN3/HOXB8/BBS1/GHR/SMAD7/DLX2/SCX/SGPL1/TGFB2/PTGER4/CHD7"
"GO:0007059","chromosome segregation",393,-0.465536153362538,-1.98292670374691,1e-10,2.57e-08,1.61315789473684e-08,3043,"tags=34%, list=18%, signal=29%","MKI67/PINX1/FANCD2/TERF1/MIS12/KIF22/RAN/DDX3X/HJURP/ITGB3BP/TUBGCP4/C9orf78/RIOK2/ZNF207/TUBGCP2/NDEL1/DYNC1LI1/RGS14/NCOR1/CHAMP1/NUP37/NCAPG2/APC/CENPJ/NR3C1/DRG1/KIF2A/ABRAXAS2/ARID1B/CDK1/HAUS7/RCC2/NCAPG/PCID2/CSNK1D/CHMP6/CENPH/HASPIN/SASS6/KNL1/CENPE/CLASP2/WRAP73/KPNB1/NDC80/NSL1/TPX2/IK/TUBGCP3/KIF18B/FIRRM/CDCA2/HDAC3/BECN1/MAPRE3/NDC1/RAB11A/CENPL/SMC4/NCAPH/CENPI/CEP85/GTF2B/NCAPD2/ARL8A/ANAPC11/GEM/TLK2/RCC1/CENPF/INCENP/DIAPH3/CDC16/CDC23/CDC42/OIP5/SMARCD2/MZT1/POLDIP2/DUSP1/SKA3/ACTL6A/RACGAP1/SIRT7/TTK/RB1/KIF23/CENPX/STIL/UBE2C/ASPM/PMF1/MAPRE2/NUSAP1/SKA2/TRIP13/NUDC/BUB1/CDC27/BUB1B/GPSM2/DLGAP5/SPDL1/AURKB/BCCIP/CCSAP/PRC1/TUBGCP5/TUBG1/FAM83D/SGO2/SLC25A5/NUF2/PSRC1/TOP2A/KNSTRN/ECT2/KIF14/BIRC5/CDCA8/CCNB2/KIF18A/AURKA/KIF2C/SPAG5/BUB3/PLK1/KIF4A/NEK2/PTTG1/CCNB1/CDC20/RIPOR2"
"GO:0000280","nuclear division",386,-0.445979530151087,-1.89616792650986,1e-10,2.57e-08,1.61315789473684e-08,2215,"tags=28%, list=13%, signal=25%","DRG1/ANLN/NPM2/CAV2/PIN1/CDC25B/KIF2A/ABRAXAS2/CDK1/CALR/NCAPG/EDN1/PCID2/EME1/CHMP6/HASPIN/KNL1/CENPE/PPP2R2D/CLASP2/WRAP73/KPNB1/NDC80/NSL1/TPX2/IK/KIF18B/CDCA2/BECN1/NDC1/FOXJ3/TDRKH/FZR1/RAD51C/RAB11A/SMC4/REEP4/EPS8/NCAPH/CENPI/KIF20B/BROX/PRMT5/CEP85/NCAPD2/BMP7/CKS2/ANAPC11/TOM1L1/RCC1/CENPF/INCENP/PSMD13/CDC16/CDC23/CDC42/UBB/NSFL1C/MZT1/POLDIP2/DUSP1/SKA3/AURKAIP1/RACGAP1/SIRT7/TTK/RB1/KIF23/CENPX/UBE2C/ASPM/NUSAP1/SKA2/BORA/TRIP13/NUDC/MSX2/BUB1/CCNA1/BUB1B/DLGAP5/SPDL1/AURKB/BCCIP/CCSAP/PRC1/TUBG1/CDC25C/UBE2S/NUF2/PSRC1/TOP2A/KNSTRN/KIF14/BIRC5/CDCA8/TOM1L2/CCNB2/KIF18A/AURKA/KIF2C/SPAG5/BUB3/PLK1/KIF4A/NEK2/PTTG1/CCNB1/CDC20/RIPOR2"
"GO:0048285","organelle fission",432,-0.437747380985609,-1.88355250715375,1e-10,2.57e-08,1.61315789473684e-08,2133,"tags=28%, list=12%, signal=25%","DRG1/ANLN/NPM2/CAV2/MUL1/PIN1/CDC25B/KIF2A/ABRAXAS2/CDK1/CALR/PINK1/NCAPG/EDN1/PCID2/EME1/CHMP6/MIEF2/HASPIN/KNL1/CENPE/PPP2R2D/CLASP2/AP3B1/WRAP73/MTFR1L/KPNB1/NDC80/NSL1/TPX2/KDR/IK/KIF18B/CDCA2/BECN1/NDC1/FOXJ3/TDRKH/FZR1/RAD51C/RAB11A/SMC4/REEP4/EPS8/NCAPH/CENPI/KIF20B/BROX/PRMT5/CEP85/NCAPD2/BMP7/CKS2/ANAPC11/ACOX1/OPA1/BNIP3/TOM1L1/RCC1/CENPF/INCENP/PSMD13/CDC16/CDC23/CDC42/UBB/NSFL1C/MZT1/POLDIP2/DUSP1/SKA3/AURKAIP1/RACGAP1/SIRT7/TTK/RB1/KIF23/CENPX/UBE2C/ASPM/COX10/NUSAP1/SKA2/BORA/TRIP13/NUDC/MSX2/BUB1/CCNA1/BUB1B/DLGAP5/SPDL1/AURKB/BCCIP/CCSAP/PRC1/TUBG1/CDC25C/UBE2S/NUF2/PEX19/PSRC1/TOP2A/KNSTRN/KIF14/BIRC5/CDCA8/TOM1L2/CCNB2/KIF18A/AURKA/KIF2C/SPAG5/BUB3/PLK1/KIF4A/NEK2/PTTG1/CCNB1/CDC20/RIPOR2"
"GO:0001503","ossification",366,0.457106612162876,1.93752745560501,2.1594604775802e-10,4.93316749100543e-08,3.09648952691616e-08,2088,"tags=32%, list=12%, signal=28%","NOG/MMP14/NPNT/BMP4/EGR2/LTBP3/RASSF2/IGFBP5/FBN2/MMP2/WNT7B/FGF18/MGP/DDR2/EXT1/VDR/IFITM1/JUND/WWTR1/KAZALD1/ATP2B1/CSGALNACT1/BCL2/COL6A1/COL13A1/PTK2/DHRS3/NAB2/COL1A2/ATF4/TPM4/LRP5/VCAN/VEGFA/COL2A1/SFRP1/OSR1/THBS3/YAP1/MMP16/NAB1/CDK6/PLXNB1/TGFB1/BMPR2/MAPK11/RRBP1/PRICKLE1/FHL2/LOC102724560/MRC2/EGFR/ACVR1/SMO/SLC8A1/KREMEN2/SLC20A2/GDF5/RANBP3L/DCHS1/BMPR1B/SUN1/IPO7/TFAP2A/RUNX1/ANO6/MN1/JUNB/GLI3/ILK/ADAMTS7/FAM20C/CCN2/RRAS2/SATB2/GLI2/ANKH/FOXC1/SHOX2/CCN3/TP53INP2/PPP3CA/SMAD1/CEBPB/VEGFC/LIMD1/LRP3/CTHRC1/ZHX3/PTEN/GSK3B/FBXO5/RBPJ/HIRA/PTPN11/NPR2/BMPR1A/PKDCC/CEBPD/BCAP29/REST/CHSY1/PDLIM7/SGMS2/SLC26A2/CCN1/SYNCRIP/TNFAIP6/ERCC2/TWIST1/IGSF10/CDH11/OSR2/ACVR2A/TOB2/LOX"
"GO:0000819","sister chromatid segregation",225,-0.508832709630062,-2.03853859038904,3.09787627897232e-10,6.36923362956708e-08,3.99789086107375e-08,2080,"tags=32%, list=12%, signal=29%","KIF2A/ABRAXAS2/ARID1B/CDK1/NCAPG/PCID2/CHMP6/HASPIN/KNL1/CENPE/CLASP2/WRAP73/KPNB1/NDC80/NSL1/TPX2/IK/KIF18B/BECN1/RAB11A/SMC4/NCAPH/CENPI/NCAPD2/ANAPC11/RCC1/CENPF/INCENP/CDC16/CDC23/SMARCD2/MZT1/POLDIP2/DUSP1/SKA3/ACTL6A/RACGAP1/TTK/RB1/KIF23/UBE2C/NUSAP1/SKA2/TRIP13/NUDC/BUB1/CDC27/BUB1B/DLGAP5/SPDL1/AURKB/BCCIP/CCSAP/PRC1/TUBG1/NUF2/PSRC1/TOP2A/KNSTRN/KIF14/BIRC5/CDCA8/KIF18A/KIF2C/SPAG5/BUB3/PLK1/KIF4A/NEK2/CCNB1/CDC20/RIPOR2"
