"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03050","Proteasome",41,-0.799163654350265,-2.46717020345072,1e-10,2.94e-08,2.30526315789474e-08,2741,"tags=83%, list=16%, signal=70%","PSME4/PSMA7/PSMA6/PSMD9/PSMA3/PSMD7/ADRM1/PSMB5/PSMB1/PSMD8/PSMA1/PSMB7/PSMD13/PSME3/PSMC6/PSMD6/PSMA4/PSMC2/PSMD14/POMP/PSMA5/PSMC4/PSMC1/PSMB4/PSMD1/PSMB6/PSMD4/PSMD12/PSMD2/PSMC5/PSMC3/PSMD11/PSMB2/PSMD3"
"hsa05205","Proteoglycans in cancer",178,0.47490452738397,1.84923148609547,1.84702138840427e-06,0.000271512144095427,0.000212893517926597,2373,"tags=32%, list=14%, signal=28%","FN1/TIMP3/MMP2/WNT7B/WNT5B/ITGB5/FGFR1/FZD4/SDC4/FZD8/PTK2/MYC/SDC1/COL1A2/DCN/PDCD4/ITGA2/VEGFA/FZD6/CD63/PLCG1/CCND1/WNT9A/PLAU/SRC/TGFB1/MAPK12/MAPK11/HSPG2/FAS/EGFR/FZD7/SMO/ITGB3/ROCK2/ITPR3/ACTB/RRAS2/EIF4B/RRAS/FZD2/SOS1/SOS2/MRAS/PTPN11/THBS1/ITPR2/FZD5/TWIST1/ITGB1/BRAF/PIK3R2/ITGA5/TFAP4/PLAUR/FZD1/LUM"
"hsa00190","Oxidative phosphorylation",123,-0.489262510667734,-1.84848107721824,1.53457438323494e-05,0.00150388289557024,0.00117919926290685,3484,"tags=37%, list=20%, signal=30%","NDUFA9/NDUFB5/NDUFB10/ATP6V0D2/NDUFS5/ATP5F1D/UQCRFS1/UQCR10/ATP5F1C/UQCRHL/NDUFA13/NDUFC1/ATP5F1A/NDUFB2/NDUFA11/ATP6V1H/COX6A1/UQCRQ/NDUFV2/ATP6V0E1/COX17/COX8A/ATP6AP1/ATP5MC3/NDUFS8/NDUFS4/SDHA/ATP5F1B/NDUFA2/NDUFA8/SDHC/UQCRH/UQCRC2/COX5A/COX11/NDUFB11/ATP5PD/ATP6V0B/NDUFS6/NDUFS3/UQCRC1/COX10/SDHB/ATP5MC1/NDUFS2/ATP5PB"
"hsa04382","Cornified envelope formation",124,-0.478550095776327,-1.80245017016511,3.55819344020973e-05,0.00174351478570277,0.00136709537439637,1936,"tags=25%, list=11%, signal=22%","PPP2R5D/COL7A1/KRT17/PPP2R2D/KRT10/S100A11/PPP2R2C/DSG2/PPP2R3A/COL4A2/KRT8/PPP2R5A/ELOVL1/KRT16/PADI1/FURIN/PPP2CA/S100A16/CLDN4/KRT19/COL17A1/S100A10/BLMH/KRT13/LAMB3/PADI3/LAMC2/PPP2R2B/KRT15/S100A2/PADI2"
"hsa05017","Spinocerebellar ataxia",131,-0.474364688838349,-1.79682623779266,3.14049644255232e-05,0.00174351478570277,0.00136709537439637,2584,"tags=34%, list=15%, signal=29%","PSMA7/PSMA6/PSMD9/PSMA3/PSMD7/ADRM1/VDAC1/PRKCA/PSMB5/MAPK9/PIK3CD/SLC25A4/PSMB1/KCND3/BECN1/MTOR/PSMD8/GTF2B/PSMA1/VDAC3/OPA1/PSMB7/PSMD13/PSMC6/PSMD6/PSMA4/GRIA3/PSMC2/PSMD14/VLDLR/PSMA5/PSMC4/PSMC1/PSMB4/SLC25A5/PSMD1/PSMB6/PSMD4/PSMD12/PSMD2/PSMC5/PSMC3/PSMD11/PSMB2/PSMD3"
"hsa04820","Cytoskeleton in muscle cells",191,0.438711724085307,1.71427891401371,2.45195767540566e-05,0.00174351478570277,0.00136709537439637,2259,"tags=31%, list=13%, signal=27%","ACTG2/FN1/FBN2/ITGA7/ITGB5/SNTB1/THBS2/ITGA6/SDC4/COL6A3/PLEC/SPTBN2/COL6A1/SDC1/COL1A2/DCN/TPM4/SYNE3/VCAN/ITGA2/FMNL2/FMNL3/THBS3/ANKRD1/DAAM2/ZYX/COL6A2/MYH9/COL4A6/HSPG2/FHL2/VCL/SYNE1/CSRP1/ITGB3/ITGA4/SUN1/ACTB/SNTB2/AGRN/DMD/PDLIM2/ITGA10/BGN/AMPD3/COL4A5/PDLIM5/THBS1/FMNL1/PDLIM7/LMOD1/COL27A1/ITGB1/TLN1/TMEM43/INF2/ITGA5/TPM1/SGCB"
"hsa04392","Hippo signaling pathway - multiple species",27,0.721992706575274,2.03535945500411,4.88201475670067e-05,0.00205044619781428,0.00160776125070293,2250,"tags=59%, list=13%, signal=52%","RASSF2/WWTR1/FAT4/DCHS2/TEAD2/YAP1/WTIP/RASSF6/AJUBA/DCHS1/MOB1B/RASSF4/LIMD1/TEAD1/LATS1/TEAD3"
"hsa04510","Focal adhesion",186,0.426162687890345,1.66080929681277,8.44885414500618e-05,0.00310495389828977,0.00243460402336362,2257,"tags=32%, list=13%, signal=28%","FN1/EMP1/ITGA7/PGF/ITGB5/THBS2/ITGA6/PDGFB/COL6A3/BCL2/COL6A1/PTK2/COL1A2/SHC2/VEGFB/PDGFRB/ITGA2/VEGFA/COL2A1/LAMA3/THBS3/CCND1/ACTN1/ZYX/SRC/COL6A2/LAMA5/COL4A6/EGFR/VCL/PDGFC/ITGB3/ROCK2/ITGA4/LAMB1/ACTB/ILK/LAMA4/ITGA10/ARHGAP5/SHC3/VEGFC/SOS1/SOS2/BIRC3/COL4A5/PTEN/GSK3B/THBS1/ITGB1/TLN1/PDGFD/BRAF/SHC4/PIK3R2/ITGA5/RASGRF1/VWF/PARVA"
"hsa03013","Nucleocytoplasmic transport",101,-0.49745587815706,-1.82916204178166,0.000103695425130302,0.00338738388758985,0.00265605825772352,3771,"tags=45%, list=22%, signal=35%","KPNA1/XPO4/NMD3/KPNA4/SEC13/RAE1/IPO11/KPNA7/CSE1L/RAN/SNUPN/EEF1A2/NUP160/AHCTF1/XPO1/NUP188/NUP37/SUMO2/RANGAP1/EIF4A3/NXT2/SRRM1/IPO5/MAGOH/NUP93/NUP85/KPNB1/KPNA6/KPNA3/IPO13/THOC3/NDC1/IPO9/XPO7/SAP18/UPF3A/GLE1/ALYREF/NUP133/NUP58/UPF3B/NUP88/CASC3/RBM8A/KPNA2"
"hsa04914","Progesterone-mediated oocyte maturation",90,-0.505514512894011,-1.82888915672609,0.000147238237140474,0.00366597715123272,0.00287450410354445,2082,"tags=31%, list=12%, signal=28%","CDC25B/HSP90AB1/CDK1/STK10/MAPK9/PIK3CD/MAP2K1/PRKACB/FZR1/IGF1R/ARAF/ANAPC11/ADCY7/CDC16/CDC23/CCNA2/RPS6KA1/GNAI3/BUB1/CDC27/CCNA1/CDC25C/ADCY1/CCNB2/HSP90AA1/AURKA/PLK1/CCNB1"
"hsa04934","Cushing syndrome",126,0.45979573657785,1.71474942802006,0.000162101030496685,0.00366597715123272,0.00287450410354445,2473,"tags=33%, list=14%, signal=29%","WNT7B/WNT5B/AGT/CACNA1C/FZD4/FZD8/KCNK3/ATF4/FZD6/PLCB1/E2F1/ADCY3/CCND1/CCNE2/CDK6/WNT9A/KCNK2/ADCY6/PLCB4/CREB3L2/EGFR/TCF7/FZD7/ITPR3/SP1/FZD2/E2F3/AXIN1/GSK3B/SCARB1/CDK4/ITPR2/CDK2/FZD5/ADCY9/ADCY8/BRAF/CREB5/GNAS/FZD1/ORAI1/KMT2A"
"hsa05226","Gastric cancer",126,0.459736158215358,1.71452723813251,0.000162101030496685,0.00366597715123272,0.00287450410354445,2085,"tags=27%, list=12%, signal=24%","WNT7B/WNT5B/FGF18/FZD4/FZD8/BCL2/MYC/SHC2/LRP5/TGFBR1/FZD6/FGF5/E2F1/CCND1/CCNE2/WNT9A/TGFB1/EGFR/TCF7/FZD7/SHC3/FZD2/SOS1/E2F3/SOS2/LRP6/AXIN1/GSK3B/CDK2/FZD5/TGFB3/BRAF/SHC4/PIK3R2"
"hsa04360","Axon guidance",171,0.42466988186115,1.6398423991045,0.000158995646770695,0.00366597715123272,0.00287450410354445,2591,"tags=33%, list=15%, signal=28%","SEMA5A/BOC/WNT5B/PLXNA4/UNC5B/PLXNA1/SEMA6B/EPHB4/EFNB3/DPYSL2/RASA1/PTK2/SEMA3E/ABLIM1/SLIT2/L1CAM/PLCG1/PLXNB2/PLXNB1/SRC/ROBO3/BMPR2/EPHA4/ABL1/DPYSL5/SMO/ROCK2/BMPR1B/NEO1/SSH1/ILK/SEMA3D/RRAS/NRP1/PPP3CA/EFNA5/UNC5C/EFNA2/SEMA4C/GSK3B/NTN4/PTPN11/SEMA3A/TRPC3/RGMA/ITGB1/PIK3R2/PARD3/LIMK2/PPP3R1/SRGAP1/CXCR4/SEMA6C/TRPC1/MYL12A/MET"
"hsa03040","Spliceosome",127,-0.455429868654456,-1.72597778191839,0.000195042133629678,0.00409588480622324,0.00321159603495485,4738,"tags=43%, list=27%, signal=32%","CDC40/TRA2B/AQR/PRPF6/DDX23/SNRNP70/SRSF3/SRSF8/RBMX/SMNDC1/THOC2/WBP11/LSM3/HNRNPU/SNRPA1/HNRNPA1L2/PRPF3/HNRNPK/TRA2A/DDX5/HNRNPM/SNRPA/DDX42/SYF2/LSM4/SNRPC/PLRG1/SNRPE/TCERG1/ZMAT2/EIF4A3/HSPA8/MAGOH/SLU7/SF3A1/U2SURP/RBM22/THOC3/DHX8/PQBP1/HNRNPC/DDX46/PPIE/PPIH/HSPA6/ALYREF/BCAS2/SRSF4/SNRNP40/SRSF2/SF3A3/PRPF38A/SF3B4/RBM8A/EFTUD2"
"hsa05224","Breast cancer",125,0.45057954213267,1.67710359330692,0.000278677073248539,0.00546207063567136,0.0042828265993986,2113,"tags=29%, list=12%, signal=25%","WNT7B/WNT5B/FGF18/FGFR1/FZD4/FZD8/MYC/SHC2/LRP5/FZD6/FGF5/NOTCH3/E2F1/CCND1/CDK6/WNT9A/EGFR/TCF7/FZD7/NFKB2/SHC3/SP1/FZD2/SOS1/E2F3/SOS2/LRP6/AXIN1/PTEN/GSK3B/CDK4/FZD5/BRAF/SHC4/PIK3R2/NCOA3"
"hsa05144","Malaria",30,0.680581792662115,1.96557828231415,0.000334962137587914,0.00579287461475568,0.00454221102982992,2699,"tags=50%, list=16%, signal=42%","LRP1/ACKR1/GYPC/THBS2/SDC1/THBS3/CD81/TGFB1/CCL2/THBS1/TGFB3/PECAM1/TGFB2/MET/VCAM1"
"hsa05217","Basal cell carcinoma",54,0.576047397718842,1.85905764485402,0.000315587048580034,0.00579287461475568,0.00454221102982992,1886,"tags=30%, list=11%, signal=26%","BMP4/WNT7B/WNT5B/FZD4/FZD8/FZD6/WNT9A/TCF7/FZD7/SMO/GLI3/GLI2/FZD2/AXIN1/GSK3B/FZD5"
