Geneid,U251_WT_1,U251_WT_2,U251_WT_3,U251_N2KO_1,U251_N2KO_2,U251_N2KO_3
100287102,16,5,0,2,0,0
653635,867,596,405,432,366,432
102466751,30,12,10,17,21,12
100302278,0,0,0,0,0,0
645520,0,0,0,0,0,0
79501,0,0,0,0,0,0
729737,44,33,30,8,12,8
102725121,1,1,1,0,0,2
102723897,482,403,382,224,241,279
102465909,1,0,2,0,0,0
729759,0,0,0,0,0,0
100132287,48,11,6,28,7,8
105378947,0,2,0,0,4,0
101928626,0,0,2,4,1,1
102465432,5,8,7,9,13,10
81399,0,0,0,0,0,0
100133331,141,136,86,116,85,101
100288069,83,49,34,47,34,27
400728,11,8,9,14,0,6
79854,42,52,58,28,16,29
643837,1014,761,606,469,458,540
284593,0,0,0,0,0,0
100130417,330,178,130,130,105,121
148398,1776,989,956,324,415,344
26155,16330,8899,9288,4044,4266,4490
339451,1799,897,830,763,650,701
84069,646,289,234,108,145,156
84808,180,92,81,54,45,48
57801,584,316,386,267,290,288
9636,1175,712,675,469,496,480
375790,36832,24938,22732,25496,28926,28102
105369174,51,27,31,9,12,21
105378948,10,3,1,2,5,5
401934,0,0,0,0,0,0
54991,1567,895,947,611,686,661
254099,0,0,0,2,0,0
406984,0,0,0,0,0,0
406983,0,0,0,0,0,0
554210,0,0,0,0,0,0
254173,0,1,0,1,0,0
8784,4,0,5,4,3,3
7293,16,1,4,2,6,0
51150,15695,12527,12288,7312,7942,8261
126792,4518,3014,2985,1840,1996,2151
388581,18,20,8,4,15,10
118424,5919,3389,3419,1622,1867,1853
6339,294,163,136,262,280,256
116983,4331,2260,2027,2327,2268,2221
102465434,0,0,0,0,0,0
126789,1748,895,977,523,645,609
54973,7831,4478,4499,2763,2931,3298
102465435,0,0,0,0,0,0
80772,4494,2569,2625,1335,1299,1459
83756,130,56,50,30,28,25
1855,8902,4518,5014,2910,3096,3242
102466740,0,0,0,0,0,0
54587,304,159,133,237,225,200
54998,7934,4425,4765,2227,2437,2682
81669,12021,6791,5740,6109,5412,6062
148413,1805,1124,1111,640,814,882
55052,4355,2877,2701,1407,1475,1548
441869,77,40,45,3,0,2
643965,0,0,2,2,1,0
102724312,26,12,10,8,8,9
64856,841,682,610,121,123,146
219293,16,16,6,5,13,10
83858,2702,1090,1278,874,907,893
55210,5780,2510,2541,1668,1696,1735
339453,33,19,26,10,9,21
29101,7007,4668,4435,2901,3136,3283
643988,0,0,0,1,0,0
142678,2573,1301,1454,1639,1547,1628
8510,9,5,2,4,3,4
984,5284,3381,3003,2110,2215,2304
728661,7583,4966,4507,4359,4347,5235
8511,6,0,3,0,3,2
728642,1693,1226,913,776,825,729
9906,1252,790,698,678,677,735
65220,6785,3782,3828,2617,2573,2924
2782,51146,33164,30288,17291,18588,21298
105378949,76,71,44,15,16,39
163688,20,14,4,6,16,19
339456,0,0,0,0,0,0
85452,0,0,6,0,1,0
2563,6,4,7,0,2,0
5590,207,201,176,11,9,4
100506504,61,46,26,10,9,33
199990,3317,1891,1924,1432,1626,1564
105378592,19,13,4,2,7,14
6497,9759,5516,4636,5494,5438,5682
105378594,6,0,0,0,0,0
79906,862,472,404,320,332,356
100129534,215,92,112,99,144,118
11079,9952,7348,6858,3716,4118,4576
5192,2132,1360,1233,619,768,704
9651,0,2,0,1,0,0
55229,145,49,31,26,19,41
388585,0,0,0,0,0,0
115110,0,0,0,0,0,0
8764,5,20,0,4,6,4
100996583,0,0,0,0,0,0
127281,27,20,80,20,22,10
79258,0,0,0,0,0,0
100287898,1,0,0,0,0,0
140625,0,0,0,0,0,0
440556,70,24,35,33,58,46
63976,621,425,348,274,262,309
100422968,0,0,0,0,0,0
27237,129,48,84,39,35,34
1953,1877,1248,1083,594,714,744
693135,0,0,0,0,0,0
127262,2517,1457,1332,1075,1259,1198
49856,2197,1372,1288,773,759,917
7161,1607,898,727,650,762,730
57212,2497,1446,1256,1233,1175,1183
148870,0,0,0,1,0,0
388588,2,6,2,0,6,0
57470,6982,3976,3707,1894,2262,2145
9731,3522,2266,2064,1209,1309,1713
1677,580,347,367,213,205,226
339448,2298,1577,1528,1061,1073,1165
100133612,9,13,8,6,9,2
728716,0,0,0,0,0,0
284661,10,0,0,0,0,0
55966,41,37,38,0,0,0
100616489,0,0,0,0,0,0
100616421,0,0,0,0,0,0
261734,1297,700,692,590,653,698
8514,3799,1998,1858,464,568,527
26038,382,149,135,87,55,123
6146,15631,13572,11983,8221,8952,9350
102724450,2,0,0,4,2,1
388591,276,152,105,251,239,244
23463,14903,9432,9105,7070,7766,8201
148645,31,29,27,4,12,4
390992,0,2,0,0,0,0
387509,1004,690,626,826,689,866
11332,10509,6159,5958,3048,3080,3511
54626,85,64,36,58,76,87
83715,36,13,33,7,9,14
100422975,0,0,0,0,0,0
8718,534,207,218,161,198,150
57449,2199,1250,1122,806,774,750
79707,3558,1784,1573,1198,1192,1252
80835,10,0,0,2,2,0
3104,1858,935,897,627,515,684
9903,8442,4322,4301,3313,3864,4031
148479,2556,1539,1466,1522,1668,1969
90326,1840,1148,1118,418,507,479
55735,5104,3352,2902,1864,2038,1924
100505887,0,0,0,0,0,0
23261,1744,1201,1170,800,797,846
9341,7317,5032,4486,2992,3156,3507
8863,3362,2625,1980,1076,901,1177
10911,1,3,0,0,0,0
3604,40,67,36,21,16,22
11315,14593,9693,9533,4540,5302,5341
54206,13515,10678,9957,18724,19803,23102
102724539,0,0,2,0,0,2
50651,380,242,232,171,162,255
473,10990,7330,5594,6615,5838,6004
102724552,8,5,1,1,2,4
2023,284946,167936,165150,75374,81925,85091
102465436,0,0,0,2,0,0
100505975,10,11,2,2,2,3
765,2,0,2,4,0,1
155184,0,0,0,0,0,0
6518,0,0,0,2,0,0
80045,203,93,68,59,43,53
407040,0,0,0,0,0,0
9563,3530,2611,2149,3002,3411,3615
80176,1413,930,869,733,806,957
100506022,97,57,80,38,49,42
